页面,Chinese,English
,高级利他 —— 胜义菩提心修习,Advanced altruism - the practice of ultimate bodhicitta
,修习胜义菩提心,Practice ultimate bodhicitta
,认识并建立,Recognize and establish
,胜义菩提心,ultimate bodhicitta
,修习胜义菩提心相关心理,mental qualities related to practicing ultimate bodhicitta
,认识并建立,Recognize and establish
,无所得心,Nothing to gain
,训练、熟悉、提升,"Training, familiarity, improvement"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,中级利他,Intermediate altruism
,心理,mental qualities
,无我利他心、平等心、大悲心,"Selflessness, altruism, equality, and great compassion"
,训练、熟悉、提升,"Training, familiarity, improvement"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,初级利他,Primary altruism
,心理,mental qualities
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,训练、熟悉、提升,"Training, familiarity, improvement"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知；贪、嗔、痴。,"At this time, we must eliminate laziness, laziness, distraction, lethargy, loss of thoughts, incorrect knowledge, greed, anger, and ignorance."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉、覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, jealousy, subversion, flattery, deceit, and thrift."
课程详情页-菩提导航-智士3,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,建立、培养、训练,"Build, develop, train"
,胜义菩提心,ultimate bodhicitta
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,信、惭愧、持戒、忏悔；真诚、认真、老实；精进。,"Believe, be ashamed, keep the precepts, repent; be sincere, serious, honest; be diligent."
,高级正念修习 —— 消除二元执著，放下觉知，体认无念,"Advanced mindfulness practice - eliminate dualistic attachments, let go of awareness, and realize the absence of thoughts"
,修习正念,Practice mindfulness
,建立、培养、训练,"Build, develop, train"
,高级正念,Advanced mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,建立、培养、训练,"Build, develop, train"
,无所得心、无念、平常心,"No gain, no thoughts, a normal mind"
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,以高级正念，修习,Practice with advanced mindfulness
,中级正念,Intermediate Mindfulness
,相关心理,Related Mental Qualities
,胜解；无贪、无嗔、无痴、轻安、行舍、不放逸,"The ultimate solution: no greed, no anger, no delusion, tranquility, equanimity, and no hesitation"
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,以高级正念，修习,Practice with advanced mindfulness
,初级正念,Elementary Mindfulness
,相关心理,Related Mental Qualities
,正见、作意、定（止）、慧（观）,"Right view, concentration, concentration (concentration), wisdom (contemplation)"
,高级利他 —— 胜义菩提心修习,Advanced altruism - the practice of ultimate bodhicitta
,修习胜义菩提心,Practice ultimate bodhicitta
,建立、培养、训练,"Build, develop, train"
,胜义菩提心,ultimate bodhicitta
,修习胜义菩提心相关心理,mental qualities related to practicing ultimate bodhicitta
,建立、培养、训练,"Build, develop, train"
,无所得心、无住心,"No intention to gain, no intention to live"
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,中级利他,Intermediate altruism
,心理,mental qualities
,无我利他心、平等心、大悲心,"Selflessness, altruism, equality, and great compassion"
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,初级利他,Primary altruism
,心理,mental qualities
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,训练、熟悉、提升、圆满,"Training, familiarity, improvement, perfection"
,以胜义菩提心为基础，修习,"Based on the ultimate bodhicitta, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知；贪、嗔、痴。,"At this time, we must eliminate laziness, laziness, distraction, lethargy, loss of thoughts, incorrect knowledge, greed, anger, and ignorance."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉、覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, jealousy, subversion, flattery, deceit, and thrift."
课程详情页-正念固定内容,正念日记,Mindfulness Journal
,把正念落实到每一件事,Apply righteous thoughts to everything
,正念禅修关键要持续训练，正念日记中可以自己设置训练事件，时刻训练自己的专注与觉知，并记录每天的用心说明。帮助我们将正念贯穿到生活中，把禅修带到方方面面。,"The key to mindfulness meditation is continuous training. You can set up training events in your mindfulness diary, train your concentration and awareness at all times, and record your daily intentions. Help us integrate mindfulness into our lives and bring meditation to all aspects."
,在菩提导航APP—五处用心—日常生活，使用“正念日记”，下载菩提导航APP开始记录吧,"In the Bodhi Navigation App - Five Mindfulnesses - Daily Life, use the ""Mindfulness Diary"", download the Bodhi Navigation App and start recording."
,iOS苹果下载,IOS Apple download
,Android安卓下载,AndroidAndroid download
课程详情页-利他固定内容,觉醒之道,The Way to Awakening
,同愿同行 共同成长　www.pa.world,Walk with the same will and grow together www.pa.world
,进入<b>服务大众全球共享平台</b>（A Global Platform for the Public），学习和体验各种服务大众项目和精品课程,"Enter </b> (A Global Platform for the Public), a global sharing platform for the public, to learn and experience various public service projects and quality courses"
,进入平台,Enter the platform
,利他周记,Altruistic Weekly Diary
,用慈心对待每一个人,Treat everyone with kindness
,利他周记包含修行元素、修行方法、修行对象和修行心得，并可对慈悲相应心理作检测。慈心的修习需要面对具体对象去训练，每周可以根据修习的情况写一篇修行心得。,"The Altruistic Weekly Diary includes practice elements, practice methods, practice objects and practice experiences, and can detect the mental qualities corresponding to compassion. The practice of loving-kindness requires training with a specific object. You can write a practice experience every week based on the practice situation."
,在菩提导航APP—五处用心— 服务大众，使用“利他周记”，下载菩提导航APP开始记录吧,"Use the ""Altruistic Weekly Diary"" to serve the public in the Bodhi Navigation App - the Five Intentions - and download the Bodhi Navigation App to start recording."
,iOS苹果下载,IOS Apple download
,Android安卓下载,AndroidAndroid download
课程详情页-菩提导航固定内容,第一阶段,First stage
,第二阶段,Second stage
,第一、二阶段,Phase one and two
,心理建设,Psychological construction
,心理建设相关,Psychological construction related
,根据以下心理建设说明，在菩提导航中进行心理检测,"According to the following psychological construction instructions, conduct psychological testing in Bodhi Navigation"
,心理建设分为七个层面：,Psychological construction is divided into seven levels:
,一,One
,认识,Know
,从认识概念，到认识相关心理；,From understanding concepts to understanding related mental qualities;
,二,Two
,建立,Establish
,在内心建立这一心理；,Build this mentality within yourself;
,三,Three
,培养,Nourish
,创造条件，使心在正确重复中成长；,Create conditions for the mind to grow through correct repetition;
,四,Four
,训练,Train
,通过逆境的磨炼，使相关心理得以壮大；,"Through adversity, the relevant mental qualities can be strengthened;"
,五,Five
,熟悉,Familiar
,通过不断重复，使相关心理成为常态；,"Through constant repetition, the relevant mental qualities becomes the norm;"
,六,Six
,提升,Improve
,通过空性禅修，使相关心理得到提升；,"Through emptiness meditation, related mental qualities can be improved;"
,七,Seven
,圆满,Complete
,通过空性禅修彻底消除对立，使相关心理达到圆满。,"Through emptiness meditation, opposition is completely eliminated and the related mental qualities become complete."
课程详情页,开始自检,Start self-test
,定课做不起来？,Having trouble keeping up with daily practice?
,定课,Daily Practice
,八三禅修,Eight-Step Threefold Meditation
,八三,Eight-Step Threefold
,八步三禅不会用？,Need help with Eight-Step Threefold Meditation?
,正念禅修,Mindfulness meditation
,修习,Practice
,利他禅修,Altruistic meditation
,修习,Practice
,菩提导航,Bodhi Navigation
,菩提导航不会用？,Don’t know how to use Bodhi Navigation?
正念专项问卷-前言,我们在做正念禅修的过程中，需要检查自己这十二元素都具备了没有。如果具备了，正念的修行就会非常有效；如果不具备或不完整，比如说我们的发心不足，生活混乱，没有热忱，或者缺少正见，看问题很偏执，自以为是，二元对立，那禅修就会很辛苦。,"In the process of mindfulness meditation, we need to check Is we have all these twelve elements. If we have it, the practice of mindfulness will be very effective; if we do not have it or it is incomplete, for example, our motivation is insufficient, our life is chaotic, we have no enthusiasm, or we lack correct views, we are paranoid, self-righteous, and dualistic in looking at problems, then meditation will be very difficult."
,这个自检表帮助我们检测在初级正念禅修中对十二要素的认识和实践情况。,This self-check sheet helps us test our understanding and practice of the twelve elements in primary mindfulness meditation.
,请您把自检当作一次了解自己和学习成长的机会，以真诚、认真、老实的态度，根据自己近,"Please regard self-examination as an opportunity to understand yourself and learn and grow, and conduct self-examination based on your recent experience with a sincere, serious and honest attitude."
,三个月,Three months
,的真实情况，如实作答。,"The real situation, answer truthfully"
,请不必在一道题上停留思考太久，按照自己的第一反应选择即可。,"Please don't stay and think about a question for too long, just choose according to your first reaction."
,选项说明：,Option description:
,偶尔：最近三个月约25%的时间/程度,Occasionally: About 25% of the time/extent in the past three months
,有时：最近三个月约50%的时间/程度,Sometimes: About 50% of the time/extent in the past three months
,经常：最近三个月约75%的时间/程度,Often: About 75% of the time/extent in the past three months
茶禅专项问卷-前言,我们在做正念禅修的过程中，需要检查自己这十元素都具备了没有。如果具备了，正念的修行就会非常有效；如果不具备或不完整，比如说我们的发心不足，生活混乱，没有热忱，或者缺少正见，看问题很偏执，自以为是，二元对立，那禅修就会很辛苦。,"In the process of mindfulness meditation, we need to check Is we have all ten elements. If we have it, the practice of mindfulness will be very effective; if we do not have it or it is incomplete, for example, our motivation is insufficient, our life is chaotic, we have no enthusiasm, or we lack correct views, we are paranoid, self-righteous, and dualistic in looking at problems, then meditation will be very difficult."
,自检，要真诚、认真、老实,"Self-examination, be sincere, serious and honest"
,在修行过程中，不仅要找到正确方法，还要时时检查。我们的正念禅修十要素自检表，正念组前后做了十几版，我也一遍遍地和他们讨论、修改，花了很多工夫。对照这个表格，我们会清楚地看到，自己在正念修行上存在什么不足，努力的方向在哪里，把抽象的修行变得非常具体。当我们修行不得力时，只要逐一检查，就能作出准确诊断，而不是推给一个万能的理由，比如业障深重之类。所以大家要重视并用好自检表，为修行保驾护航。,"In the process of practice, you must not only find the correct method, but also check it from time to time. Our mindfulness group made more than ten versions of our Ten Elements of Mindfulness Meditation self-examination list. I discussed and revised it over and over with them, which took a lot of time. By comparing this table, we will clearly see what shortcomings we have in mindfulness practice and where we should strive to make abstract practice very concrete. When we are unable to practice effectively, we can make an accurate diagnosis by simply checking one by one, instead of assigning a universal reason, such as deep karma. Therefore, everyone should pay attention to and use the self-check list to protect your practice."
,我们构建的正念修行，不是单纯的技术，而是为了导向觉醒。所以大家自检时，必须本着真诚、认真、老实的态度，而不是流于形式，更不能自我美化。听说有些人自检达到200 多分，把自己检得无比美好，却不符合实际情况。对修行来说，这个问题极其严重，属于未证言证，是大妄语。,"The mindfulness practice we construct is not simply a technique, but is designed to lead to awakening. Therefore, when everyone self-examines, they must be sincere, serious, and honest, rather than just a formality, let alone self-beautification. I heard that some people have scored more than 200 points in self-examination, and they think they are extremely beautiful, but it is not in line with the actual situation. For spiritual practice, this problem is extremely serious. It is an untested testimony and a big lie."
,自检须知,Self-examination instructions
,这个自检表帮助我们检测在初级正念禅修中对十要素的认识和实践情况。,This self-check sheet helps us test our understanding and practice of the ten elements in primary mindfulness meditation.
,请您把自检当作一次了解自己和学习成长的机会，以真诚、认真、老实的态度，,"Please regard self-examination as an opportunity to understand yourself and learn and grow. With a sincere, serious and honest attitude,"
,三个月,Three months
,的真实情况，如实作答。,"The real situation, answer truthfully"
,请不必在一道题上停留思考太久，按照自己的第一反应选择即可。,"Please don't stay and think about a question for too long, just choose according to your first reaction."
,选项说明：,Option description:
,偶尔：最近三个月约25%的时间/程度,Occasionally: About 25% of the time/extent in the past three months
,有时：最近三个月约50%的时间/程度,Sometimes: About 50% of the time/extent in the past three months
,经常：最近三个月约75%的时间/程度,Often: About 75% of the time/extent in the past three months
专项问卷页,继 续,Continue
,开始诊断,Start diagnosis
,基础信息,Basic information
,请输入您的,Please enter your
,菩提导航,Bodhi Navigation
,或,Or
,生命海洋,Ocean of life
,登录手机号（不需要国家区域码）,Login mobile phone number (no country code required)
,请输入您的,Please enter your
,元日记,Yuan Diary
,登录手机号（不需要国家区域码）,Login mobile phone number (no country code required)
,您当前的身份是？,What is your current status?
,学士,Bachelor
,修士,Monk
,胜士,Victory
,智士,Wise men
,最近三个月，您平均每日自修时间有多少小时？,"In the past three months, how many hours did you spend on self-study every day on average?"
,小时,Hour
,您开始比较规律地练习正念有多少年？,How many years have it been since you started practicing mindfulness on a more regular basis?
,年　,Year
,最近三个月，您平均每日练习正念多少分钟？,"On average, how many minutes a day have you practiced mindfulness in the past three months?"
,分钟,Minute
,返 回,Return
,定课,Daily Practice
,八三禅修,Eight-Step Threefold Meditation
,正念禅修,Mindfulness meditation
,利他禅修,Altruistic meditation
,菩提导航,Bodhi Navigation
,每日自修不能大于24小时,Daily self-study cannot exceed 24 hours
,每日练习正念不能大于1440分钟,Daily mindfulness practice should not exceed 1440 minutes
,请填写完整后继续,Please fill it out completely to continue
,请填写完整后继续,Please fill it out completely to continue
,请完成作答后继续,Please complete your answer before continuing
,的第,Of the
,题未作答,Question not answered
,提交中,Submitting
问卷页,诊断,Diagnosis
,请聆听音频，结束后作出评价：,Please listen to the audio and comment after it ends:
,请完成表格中的问题，结束后作出评价：,Please complete the questions in the form and leave your comments after finishing:
,选择题（单选）,Multiple choice questions (single choice)
,选择题（多选）,Multiple choice questions (multiple choice)
,判断题,True or false question
,填空题,Fill in the blanks
,请输入,Please enter
,提交,Submit
,退出诊断,Exit diagnostics
,定课,Daily Practice
,八三禅修,Eight-Step Threefold Meditation
,正念禅修,Mindfulness meditation
,利他禅修,Altruistic meditation
,菩提导航,Bodhi Navigation
,答题结果上传中,Answer results are being uploaded
,第,No
,题尚未作答,Question not answered yet
,第,No
,题尚未作答,Question not answered yet
,第,No
,题尚未作答,Question not answered yet
,第,No
,题尚未作答完成,The question has not been answered yet
,提交失败,Submission failed
,提示,Tip
,未找到数据,No data found
,媒体数据加载失败,Media data loading failed
登录页,称呼,Call
,请输入您的昵称,Please enter your nickname
,学习进度,Learning progress
,请选择课程,Please select a course
,进入,Enter
,为了更好的体验，推荐使用以下浏览器：,"For a better experience, it is recommended to use the following browsers:"
,Chrome浏览器 点击下载,Chrome browser click to download
,知道了,Got it
,请填写称呼,Please fill in your title
,请选择学习进度,Please select your learning progress
媒体播放页,您当前的浏览器，不支持视频播放，请,"Your current browser does not support video playback, please"
,下载并使用chrome浏览器,Download and use chrome browser
,播放。,Play
,下载,Download
,已暂停,Suspended
,正在播放,Now playing
,加载中,Loading
,当前播放,Currently playing
,已暂停,Suspended
,第二步,Step 2
,点击视频中间的播放按钮观看视频,Click the play button in the middle of the video to watch the video
,第一步,First step
,选择要观看的视频,Choose a video to watch
,播放器载入了,Player loaded
,播放器状态变化,Player status changes
,加载中，请稍后,"Loading, please wait"
,请等待下载完成,Please wait for the download to complete
,未找到媒体数据,Media data not found
,加载中，请稍后,"Loading, please wait"
,出错,Error
,播放地址无效！,The playback address is invalid!
,视频,Video
,音频,Audio
,以上的剩余空间以获得更好的播放效果。,The remaining space above for better playback effect.
,网络异常，请确保网络正常后重新加载。,"Network abnormality, please make sure the network is normal and then reload."
,重新加载,Reload
,请求处理异常，请确保网络正常后重新加载。,"Request processing exception, please make sure the network is normal and reload."
,加载中，请稍后,"Loading, please wait"
,媒体数据加载失败,Media data loading failed
检测结果页-单统计图版,诊断,Diagnosis
,保存报告,Save report
,重新检测,Retest
,测评总得分,Total assessment score
,合格,Qualified
,不合格,Unqualified
,您的得分,Your score
,总分｜,Total score｜
,合格｜,Qualified｜
,分,Point
,各维度得分,Score for each dimension
,标准分,Standard score
,我的得分,My score
,分析与建议,Analysis and suggestions
,得分,Score
,保存报告,Save report
,诊断结果,Diagnosis results
,观看视频,Watch video
,阅读文章,Read article
,收听音频,Listen to audio
,合格线,Qualified line
,我的成绩,My results
,请根据您的检测结果，通过以下内容赋能 / 强化 ：,Please empower/strengthen with the following content based on your test results:
,提示,Tip
,未找到检测数据,No check data found
,正在保存中，请稍等,"Saving, please wait"
,接口请求出错-获取上传地址失败,Interface request error - Failed to obtain upload address
,长按此处保存报告,Long press here to save report
,接口请求出错-上传失败,Interface request error - upload failed
,图片处理出错,Image processing error
检测结果页,说明,Illustrate
,在这个自检表中，以下几条项目是必须具备的正确认知。,"In this self-check list, the following items are necessary correct understandings."
,【发心】“我为什么要修正念？”,"[Motivation] ""Why should I practice righteous thoughts?"""
,为现实利益（增上善心）,For real benefits (to increase kindness)
,为觉醒解脱（出离心）,Liberation for awakening (renunciation)
,为带领众生觉醒（菩提心）,To lead all sentient beings to awaken (Bodhicitta)
,【调身】当我禅坐时发现自己弯腰弓背，要如何带着觉知调整，让脊柱回到中正？(多选),"[Body Adjustment] When I find myself hunched over while meditating, how can I adjust with awareness to bring my spine back to the center? (Multiple choice)"
,抬头挺胸，腰部用力,"Keep your head up, your chest up, and your waist strong"
,加个坐垫，让双腿和臀部形成稳定的三角形,Add a cushion so that your legs and hips form a stable triangle
,调整骨盆到中立位，不前倾不后仰,"Adjust the pelvis to a neutral position, neither leaning forward nor backward"
,坐骨扎根，让脊柱自然向上延展,The sitting bones are rooted to allow the spine to naturally extend upward
,头正颈立，下颌微收，尽可能让耳朵在肩膀的正上方,"Keep your head straight and neck upright, chin slightly retracted, and keep your ears directly above your shoulders as much as possible"
,【调身】当我发现自己盘腿有困难，可以在哪些因缘上努力？,"【Body Adjustment】When I find that I have difficulty crossing my legs, what causes and conditions can I work on?"
,靠毅力硬盘，压石头、压大米,"Rely on perseverance to hard drive, crush stones and rice"
,忍一忍，痛到极致就不痛了,"Just bear with it, it won't hurt anymore when it hurts to the extreme"
,垫高臀部，让臀部和双腿形成稳定的三角形,Elevate your hips so that your hips and legs form a stable triangle
,练习正念盘坐八式，活化髋关节、拉伸脚踝、脚背、膝关节、大腿，让盘坐更容易,"Practice the eight postures of sitting cross-legged with mindfulness to activate hip joints, stretch ankles, insteps, knee joints, and thighs, making sitting cross-legged easier"
,痛感太强时，带着觉知稍微转换一下姿势，如单盘、散盘,"When the pain is too strong, change your posture slightly with awareness, such as single lotus or loose lotus."
,如果实在盘不了腿，就坐椅子，保持脊柱中正,"If you really can’t cross your legs, sit on a chair and keep your spine aligned."
,【所缘】我认为在初级禅修阶段选择一个所缘来作为训练专注力的助缘，让心不要乱跑，是非常必要的,"[Object] I think it is very necessary to choose an object in the initial stage of meditation as an aid to train concentration, so that the mind does not wander around."
,认同,Agree
,【所缘】在初级禅修中，我要选择一个什么样的所缘？（多选）,【Object】What kind of object should I choose in primary meditation practice? (Multiple choice)
,没有副作用,No side effects
,不容易产生强烈贪嗔,Not prone to strong greed and anger
,容易让自己的心安住的,It’s easy to let your heart rest
,【作意】我认为在初级禅修阶段，善用作意来摆脱散乱昏沉，让心专注，是非常必要的,[Intention] I think it is very necessary to make good use of intention to get rid of distractions and let the mind focus in the early stage of meditation.
,认同,Agree
,【正见】在正念禅修以外，我也非常重视善用理性，通过闻思获得正见，指导现实人生,"[Right View] In addition to mindfulness meditation, I also attach great importance to making good use of reason, obtaining right views through listening and thinking, and guiding real life."
,重视,Pay attention to
,其余项目是对实践程度的检测，请对照自己的分数和合格分，若您某一项的得分低于合格分，可以进行针对性的学习和训练。,"The remaining items are tests of practical level. Please compare your score with the passing score. If your score in a certain item is lower than the passing score, you can carry out targeted learning and training."
