中文,英文,释义,梵文,巴利文,出处
诸行无常,1) all conditioned things are impermanent；2) all things are in a state of incessant change,"1) FoDict:All things are in a state of incessant change. All conditioned things are in continual motion. One of the three seals of the Buddhist doctrine.  2) DDB: All conditioned things are in continual flux. A corollary of this doctrinal proposition is that anything unconditioned 無爲 is beyond flux, and therefore genuinely eternal 常住. According to the doctrine of momentariness 刹那滅義, conditioned dharmas 有爲法 come to cease immediately upon arising, in the very same place that they arise. Therefore, while composite things may appear to move, the ultimate constituents of things, the conditioned dharmas, do not move. The first of the three seals 三法印 of the Buddhist doctrine.","anityābatasaṃskārāḥ, sarva-saṃskārā-anityāḥ, saṃskārânityatā",,"FoDict, DDB"
杂阿含经 ,Samyuktagama,,,,
两只毒箭,two poisoned arrows,,,,
证果,reach enlightenment / attain enlightenment/ achieve enlightenmen,The rewards of the various stages of attainment. ,,,PDB
忏悔,1）practice of repentance；2）confession of transgressions,"1）DDB:  To repent of any negative actions one may have done in oneʼs present or past lives, so as to clear oneself of karmic obstacles that may be causing one worldly difficulties or restraining oneʼs spiritual progress ""Please forgive me for the crimes I have committed."" To confess oneʼs crimes before the Buddha. 2) PDB: the confession of unvirtuous deeds, either privately in the presence of a real or visualized representation of a buddha, or communally as part of a confession ceremony, such as the fortnightly monastic confession","pratideśayati, kaukṛtya",pāpadesanā;,"DDB, PDB"
烦恼,affliction,"All of the thoughts, words, actions and emotions which arise and cease based on nescience and desire which keep human beings trapped in the cycle of birth and death, and which result in suffering",kleśa; saṃkleśa,kilesa,"DDB,FoDict"
烦,"disturbance, annoyance",,,,
恼,vexation,"To worry; tribulations, anxiety; torment, irritation, annoyance. The mental action of self-affliction in coming to know oneʼs bad actions as bad actions and being stuck with this knowledge, yet not benefiting by the remonstrance of others. The mental action of self-affliction due to recollection of the past or present people, places and things that are unsuitable. ",,,DDB
心所,mental factors,"caitta. [alt. caitasika] (P. cetasika; T. sems byung; C. xinsuo; J. shinjo; K. simso 心所). In Sanskrit, “mental concomitants” or “mental factors.” In the ABHIDHARMA, the term encompasses those mental factors that accompany, in various combinations, the mind (CITTA) and its six sensory consciousnesses (VIJÑĀNA), viz., visual (lit. eye), auditory (ear), olfactory (nose), gustatory (tongue), tactile (body ), and mental.",,caitta,DDB
善,"wholesome, ",,,,
不善,unwholesome,,,,
无记,karmic indeterminacy,"Karmic neutrality; moral neutrality; lacking impact or karmic potency, expressed as 羸劣. One of the three qualities 三性 of all activities (karma)—distinguished from mental states that are either wholesome 善 or unwholesome 惡. ",,,DDB
做意,attention,,,,
触,contact,,,,
受,"feeling, sensation ",,,,
思,"deliberation, contemplation, meditation, consideration",,,,
遍行心所,univeralyly interactive mental functions,,,,
惭,"shame, decency, conscience, propriety",,,,
愧,"remorse, modesty",,,,
惭,Conscience,"Conscience, or self-motivated shame for oneʼs wrongdoings (Skt. hrī). In the Abhidharmakośa-bhāṣya, one of the ten virtuous mental factors 大善地法, and in Yogâcāra, one of the eleven wholesome mental factors 十一善. It refers to sense of conscience that brings one to reflect on oneʼs self-centered evil actions. According to the Abhidharmakośa-bhāṣya, the difference between conscience and shame (apatrāpa 愧) is that the dominant factor in conscience is oneʼs own sense of moral scruple 自增上, while the dominant factor in producing shame is oneʼs embarrassment 恥 in the face of others 他增上 (Skt. trapā, apatrāpya, hirimat, hiri, hrīmat; Tib. ngo tsha shes pa). ",,,DDB
愧,shame,"Or scruple. One of the ten wholesome mental factors detailed in the Abhidharmakośabhāṣya 大善地法, one of the eleven wholesome mental factors 十一善 in Yogâcāra; the mental function of having the sense to reflect on whether oneʼs actions will cause harm. Often seen used in the compound 慚愧 where 慚 means conscience—reflection within oneself, and 愧 means shame in the face of other people (Skt. vyapatrāpya, apatrāpya, apatrapā; apatrapaṇatā, apatrāpa, otrāpya, lajjin, vyavatrāpya, hrī; Tib. khrel yod pa). ",,,DDB
放逸,"unconscientiousness, dissipation, self-indulgence",,,,
放逸,negligence,"Dissipation, careless(ness); self-indulgence; profligacy; lack of discipline, debauchery (Skt. pramāda, pramāditā, pramādin, pramādya, pramatta; Pāli pamāda; Tib. bag med pa). Unruly, unbridled, uncontrolled. ","pramāda, pramāditā, pramādin, pramādya, pramatta; ",pamāda,DDB
常见,eternalism,,,,
断见,nihilism,,,,
阿赖耶识,Alaya Consciousness,,,,
六尘,six Dusts,,,,
业力,Karma,,,,
持常见者,eternalist,,,,
持断见者,nihilist,,,,
功不唐捐,No good or evil deed is performed in vain.,,,,
楞伽经,Lankavatara Sutra,,,,
六识,six Consciousness,,,,
现量,perception,,,,
不共无明,independently-functioning ignorance,,,,
俱生我执,innat self-attachment,,,,
末那识,Manas Consciousness,,,,
八识规矩颂,Eight Kinds of Consciousness Practices Chant,,,,
阿弥陀经,the Amitabha Sutra,,,,
无量寿经,the Infinite Life Sutra,,,,
观无量寿经,the Sutra on the Visualization of Immeasurable Life,,,,
妄念,delusion,,,,
执着,"attachment, clinging, grasping, addicting",,,,
树欲静而风不止,"The trees long for peace, but the wind will never cease.",,,,
大夫（古官称）,"politician, minister, senior official, ","An official of the state in imperial Chinese government. A minister. Throughout history found as a suffix in many titles of relative importance, both functional such as Censor-in-chief 御史大夫 and honorific such as Specially Promoted Grand Master for Splendid Happiness 特進光大夫. ",,,DDB
烦,"disturbance,  confusion",,,,
恼, vexation,"To worry; tribulations, anxiety; torment, irritation, annoyance. The mental action of self-affliction in coming to know oneʼs bad actions as bad actions and being stuck with this knowledge, yet not benefiting by the remonstrance of others. The mental action of self-affliction due to recollection of the past or present people, places and things that are unsuitable. ",,,DDB
无我,non-self,,,,
无常,impermanence,,,,
唯识经典,Conscousness-Only canon,,,,
因果法则,law of cause-and-effect,,,,
缘起,depent origination,,,,
因,cause,,,,
缘,condition,,,,
苦,"suffering, pain, bitterness",,,,
刹那 ,ksana,"A moment (Skt. kṣaṇa). The shortest unit of time, translated into Chinese as 念, 念頃, 念念,一念, but according to another definition 60 kṣaṇa (or 65) equal one finger-snap, and 90 equal a thought 念, 4,500 a minute; there are other definitions. In each kṣaṇa 900 persons are born and die.",,,DDB
断灭论,Annihilationism.,"The philosophical position arguing that sentient beings disappear entirely upon death. In Buddhism this is understood to be a mistaken view, which results from not discerning the principle of cause and effect that centers on the idea that the world or oneself can be destroyed.", uccheda-va^da,,DDB
一世论,,"there is complete extinction of the self after death, and thus only one period of time in one's existence",,,
两世论,,this present life and afterlife,,,
常见,Eternalistic view,The notion that the self and the objects of the world exist and persist. The opposite of the nihilistic view.,,,DDB
究竟,ultimate,"(1) Unsurpassed, final, extreme, best, ideal (atyanta). (2) Utmost, limit, extremity (nistha^). (3) To completely exhaust. Arrive. Reach, attain. To master (a topic). Especially, to arrive to the highest position of bodhisattvahood, or thorough enlightenment (nistha^-gamana). (4) To thoroughly realize or comprehend. (5) To truly make manifest (sama^pana). (6) Final goal. Becoming a Buddha (especially in Tiantai or Hua-yen) ",,,汉英-英汉-英英辞典
缘起,dependent arising/conditioned genesis/dependent co-arising/interdependent arising,"Everything arises from conditions; there is nothing that arises out of nothing; there is nothing that arises of itself; and things do not come into existence through the power of an external Creator. Thus, there is nothing that is self-contained, independent, or which has its own separate and independent nature. All phenomena are given rise to due to the mutual relationships of countless causes and conditions and are not independently existent",,,DOT术语库
缘起,"Dependent origination, conditioned genesis",The condition of relationship to something else resulting in arising or production.,prati^tya-samutpa^da,,【汉英-英汉-英英辞典】
缘起,dependent origination,"of one thing on another); one of the core teachings in the Buddhist doctrinal system,The notion of the conditionality of all existence is foundational in Buddhism. “When this is present, that comes to be. / From the arising of this, that arises. / When this is absent, that does not come to be. / From the cessation of this, that ceases.”  ",pratītyasamutpāda ,paṭiccasamuppāda ,PDB
三世论,,"the theory of three periods of time (past, present and future), which holds that life is changing and at the same time continuous, neither eternal nor nihilistic.  ",,,译文
究竟圆满,enlightenment,,,,
解脱,liberation/freedom/deliverance/release, The state of liberation from suffering and rebirth. The term is often used as a synonym for nirvāṇa,,,DOT术语库
解脱,"Deliverance, salvation, liberation","especially from suffering, birth, old age and death","mukta, parimocana, visam!yoga, pramukta",,【汉英-英汉-英英辞典】
娑婆世界,Saha World/endurance world,World that must be endured,,,DDB
现世乐,,enjoyment in the present life,,,
来世乐,,happiness of future lives,,,
涅槃究竟乐,,the ultimate happiness of Nirvana,,,
色身,body,,,,DOT术语库
色身,physical body,"In Sanskrit and Pāli, “physical body,” a term that seems to have been used originally to refer to the physical body of the Buddha, as opposed to the body or corpus of the Buddha’s marvelous qualities, which were referred to as the DHARMAKĀYA.",rūpakāya,,PDB
阿赖耶识,the Alaya Consciousness.,"The notion of the store consciousness arose out of early problems surrounding the continuity of both karmic potential and the afflictions (kleśa; nyon mongs) in a latent state (anuśaya; bag la nyal ba) that had been generated by the Abhidharma emphasis upon momentary processes of mind. How, after all, could these two essential components of saṃsāric existence, which are eliminated only toward the end of the path, continuously persist if oneʼs mental stream (saṃtāna; rgyud) were comprised solely of whatever dharmas (chos) were momentarily present and manifest in mind.The ālayavijñāna thus came to denote the mental processes that underlie each and every moment of the traditional six forms of manifest cognitive awareness (pravṛtti-vijñāna; 'jug pa'i rnam par shes pa)—a term coined to distinguish it from the continuous yet subliminal ālaya or 'home' awareness.",,,DDB
业因,karma-cause,good or evil act as the cause of a good or evil effect,,,DDB
解脱自在,,attaining liberation and freedom,,,
名与实（名相与实相）,"名相： Name and form, name and appearance
实相：reality",名相：that which is seen with the eyes and that which is heard with the ears,,,"名相：《英汉-汉英-英英佛学辞典》中华佛典宝库编

实相：BAICKZ202010词库"
自性,Own-nature; self-nature,"As unchanging essence or principle, this notion is refuted by the Buddhist doctrine of emptiness",,,【汉英-英汉-英英辞典】
欢喜,"Happiness, joy, bliss","A joy that is produced by religious fulfillment, that which uplifts the whole person.",,,【汉英-英汉-英英辞典】
假名,dependent designation,, prajn~apti,pan~n~atti,dependent designation「假名施设」来自《菩提道次第略论广论》中英文对照，巴利语和梵文来自《佛光大辞典》
名言, verbal expressions,Those things which are vehicles for expression,,,《英汉-汉英-英英佛学辞典》中华佛典宝库编
错觉,hallucination,,gandharva,,《菩提道次第略论广论》中英文对照
因缘和 合,"The union of causes and conditions.
",,,,【汉英-英汉-英英辞典】
安立,"To set up, establish, provisionally establish; to posit","A teaching, or description of reality that is made through distinctions,","pratistha^, pratisthita, ropana, vyavastha^na, sannive/sa",,【汉英-英汉-英英辞典】
"金刚般若波罗蜜经
","The Vajracchedika Prajnaparamita Sutra
",,,,"一行禅师翻译版
"
永恒,eternity,,,,《菩提道次第略论广论》中英文对照
无常,impermanence,The fact that all things are impermanent is one of the basic premises of Buddhism,,,《英汉-汉英-英英佛学辞典》中华佛典宝库编
如实,"True, real",To go along with reality,yatha^-bhu^tam,,【汉英-英汉-英英辞典】
圆满,"To fill (up). To satisfy. To complete, to consummate",especially completion of wisdom,"paripu^ri, nispatti, sam!a^pti",,【汉英-英汉-英英辞典】
觉悟者：觉（悟）者," ""Awakened one,"" ""enlightened one."" The Buddha, a buddha.",,,,【汉英-英汉-英英辞典】
解脱道,The path of liberation ,"One of the graduated paths of practices that appears in various Yoga^ca^ra texts, also one of the four paths taught in Abhidharma",vimoks!a-ma^rga,,【汉英-英汉-英英辞典】
有情,Sentient being,"Before Hsüan-tsang 玄奘, this term was written in Chinese as zhongsheng 众生 but after his time was translated with this term. All living beings.",sattva,,【汉英-英汉-英英辞典】
无明,Ignorance ," Literally, it means darkness without illuminatio",,,【汉英-英汉-英英辞典】
正见," 'Right view,' 'correct view.'",the view which complies with the Buddhist teaching of causalit,,,【汉英-英汉-英英辞典】
八正道,Eightfold Path ,The eight right ways for the Arhat leading to Nirvana,,,
因缘因果,"因缘：causes and conditions
因果：Cause and effect","

因果： If there is a cause there must be an effect and vice versa",,,"因缘：【汉英-英汉-英英辞典】
因果：《英汉-汉英-英英佛学辞典》"
善因,Good causation,a good cause for a good effect,,,"A Dictionary of Chinese Buddhist Terms
"
招感,associate,,,,《菩提道次第略论广论》中英文对照
成住坏空,,,,,
无我,Selflessness,"Absence of self, non-self. The lack of existence of an inherent self, soul, or self, from the standpoint of Buddhist analysis. The empirical self is merely an aggregation of various elements, and with their disintegration it ceases to exist; therefore it has no ultimate reality of its own. This is one of the most important philosophical concepts in all of Buddhism, and is understood as having been one of the primary realizations attained by Śākyamuni in his enlightenment experience . ","anātman, nairātmya","anattan, anattā","fodict, DDB"
无我,Non-self,"the third of the “three marks” (TRILAKṢAṆA) of existence, along with impermanence (ANITYA)and suffering (DUḤKHA). since all compounded things are the fruition (PHALA) of a specific set of causes (HETU) and conditions (PRATYAYA), they are therefore absent of any perduring substratum of being. ",anattā ,anātman,PDB
空,Emptiness,"The Sanskrit word is Sunya. One of the key concepts in Buddhism. Emptiness is an abstract idea representing impermanence, unreality, instability, transience and relativity in the nature of all existence. The doctrine states that all phenomena and the ego have no reality, but are composed of a certain number of Skandhas or elements, which disintegrate. The doctrine also states that everything is unstable, possessing no self-essence or self-nature, i.e., its own existence dependent or caused by the conditions of others' existence.
Emptiness is not nothing, but it is the condition of existence of everything. It permeates all phenomena making possible their evolution.",Sunya,,fodict
我执,self-clinging,"To posit a self; also written 我取, 人執. The attachment to the notion of an enduring, inherent self , which is the basis for the activity of all the afflictive hindrances 煩惱障. This attachment is considered to be something that can be eliminated by the practitioners of the two vehicles 二乘, being less subtle than the attachment to dharmas 法執 (Skt. ahaṃ-kāra, ātma-grāha, ahaṃkāra-manaskāratā, ahaṃ-kṛti, ātma-dṛṣṭi, ātma-sneha, ātmâbhiniveśa, ātmêti, ātmôpalambha, sāhaṃkāra-manaskāratā; Tib. nga rgyal, bdag tu 'dzin pa). 〔瑜伽論 T 1579.30.307c26, 成唯識論 T 1585.31.2a9〕 [Charles Muller; source(s): Nakamura, Stephen Hodge, JEBD,Yokoi]
Self-centeredness, egocentrism; attachment to the view that oneʼs opinion is right. [Charles Muller; source(s): Nakamura, JEBD, Yokoi]",ātma-grāha,,"fodict, DDB"
我执,self-attachment,"In Sanskrit, “clinging to self” or “conception of self”; the fundamental ignorance that is the ultimate cause of suffering (DUḤKHA) and rebirth (SAṂSĀRA). Although the self does not exist in reality, the mistaken conception that a self exists (SATKĀYADṚṢṬI) constitutes the most fundamental form of clinging, which must be eliminated through wisdom (PRAJÑĀ). ",ātmagraha,attagaha,PDB
贪嗔痴,"greed, hatred and ignorance","The three basic afflictions from which all other afflictions are derived: (1) desire, craving (貪欲 rāga); (2) anger, aversion (瞋恚 dveṣa); and (3) nescience, folly (愚癡 moha). Also written more simply as 貪, 瞋 and 癡. Also known as the three unwholesome roots 三不善根 and three stumps 三株. ","rāga,dveṣa, moha",,"fodict, DDB"
杀盗淫妄,"killing, stealing, sexual misconducts and lying",,,,fodict
恶业,evil karma,"An unwholesome action;  Evil deeds, as opposed to good deeds. Evil conduct of word, thought and deed, which leads to evil retribution. There are ten of these 十惡.",akuśala-karma,,"fodict, DDB"
观照,contemplation,meditative enlightenment on reality,,,DDB
执着,attachment,Holding to things and being unable to let go,"abhinive/sa, nibhandhana",,【汉英-英汉-英英辞典】
四大假合,a provisional combination of four elements,"the physical world of materiality or form (RŪPA) is composed. According toABHIDHARMA analysis, these elements involve not only the common manifestations of earth (PṚTHIVĪ; P. paṭhavī), water (ĀPAS; P. āpo), fire (TEJAS; P. tejo), and wind (VĀYU; P. vāyu/vāyo), but also the fundamental qualities of the physical world that these elements represent. ",mahābhūta,mahābhūta,PDB
本自具足,,,,,
佛性,Buddha-nature,"In Sanskrit, “buddha-element,” or “buddha-nature”; the inherent potential of all sentient beings to achieve buddhahood. ",buddhadhātu,,PDB
阿弥陀佛,Amitabha Buddha,"Amitaba is the Buddha of Limitless Light or Amitâyus (the Buddha of Limitless Life).It's a Buddha who possesses infinite meritorious qualities; who expounds the Dharma in his pure paradise (Sukhāvatī) in the West. According to tradition Amitâbha was in ancient times a king who, having come in contact with the Buddhist teaching, renounced his throne and became a monk with the name of Dharmâkara. He resolved to become a Buddha and in this way to come into possession of a paradise in which all who call his name might be born into a life of unbounded joy. ",,,DDB
五欲,five desires,"1) Five kinds of desire that arise from attachment to the objects of eyes, ears, nose, tongue, and body. The desires of regular people. Also a reference to the five objects themselves in the sense that they are the cause of these desires: form, sound, fragrance, flavor, and tactility.
2) The five desires of wealth, sex, food, fame, and sleep.",,,DDB
华严,Huayan,"The Huayan (or Flower Garland) school of Buddhism is a tradition of Mahayana Buddhist philosophy that first flourished in China during the Tang dynasty. The Huayan worldview is based primarily on the Avatamsaka Sutra. The name Flower Garland is meant to suggest the crowning glory of a Buddha's profound understanding of ultimate reality. The Huayan School is known as Hwaeom in Korea, Kegon in Japan and Hoa Nghiêm in Vietnam. This tradition also had a strong influence on Chan Buddhism.",,,Wikipedia
净宗,Pure Land school,"A broad branch of Mahayana Buddhism and one of the most widely practiced traditions of Buddhism in East Asia. Pure Land is a tradition of Buddhist teachings that are focused on the Buddha Amitābha. The three primary texts of the tradition, known as the ""Three Pure Land Sutras"", are the Longer Sukhāvatīvyūha Sūtra, Amitayurdhyana Sutra and the Shorter Sukhāvatīvyūha Sūtra. Pure Land oriented practices and concepts are found within basic Mahāyāna Buddhist cosmology, and form an important component of the Mahāyāna Buddhist traditions of China, Japan, Korea, Tibet and Vietnam.Pure Land Buddhism is built on the belief that there will never be a world which is not corrupt, so the rebirth in another plane, referred to as the ""Pure Land"" is the goal.",,,Wikipedia
念佛,remembrance of the Buddhaʼs name,"To be mindful of the meritorious virtues of the Buddha. Most well known as a practice of the Pure Land school, which entails the verbal chanting of the name of Amitâbha Buddha for the purpose of obtaining rebirth in the Pure Land. Repetition is done both audibly and inaudibly. It is one of the thirty-eight meditation subjects and the ten recollections. ",,,DDB
轮回,samsara,"This is the expression of the ancient Indian idea that all living things repeatedly pass through life and death. Like a continually spinning wheel, sentient beings are reincarnated and die without end. In Buddhism, one is said to transmigrate through the triple realm (desire, form and formless realms) and the six destinies (god, demigod, human, animal, hungry ghost, hell-being).",saṃsāra,,DDB
六尘,six objects,"The six fields of the senses, i. e. the objective fields of sight, hearing, smelling, tasting, touching, and thought.",,,DDB
天台,Tiantai,"An East Asian Buddhist school of Mahayana that developed in sixth century China. The school emphasizes the Lotus Sutra's doctrine of the ""One Vehicle"" as well as Madhyamaka philosophy, particularly as articulated in the works of the fourth patriarch Zhiyi (538–597 CE). The name of the school is derived from the fact that Zhiyi lived on Tiantai Mountain, which then became a major center for the tradition. Tiantai is sometimes also called ""The Lotus School"", after the central role of the Lotus Sutra in its teachings. According to Paul Swanson, Tiantai Buddhism grew to become ""one of the most influential Buddhist traditions in China and Japan.""",,,Wikipedia
三藏,Tripitaka,"The Buddhist canon, traditionally categorized into three divisions. These are the sūtra-piṭaka (sermons collection), vinaya-piṭaka (rules collection), and the abhidharma-piṭaka (philosophical treatises collection). ",tripiṭaka,tipiṭaka,DDB
三宝,Triple Gem,"The basic set of three are (1) the Buddha; (2) the Dharma (Buddhist teachings), and (3) the Sangha (community of monks and nuns).",,,DDB
十二部,Twelve Divisions of Sutras,"The sutras divided according to genre, including: 1) sūtra, the Buddhaʼs discourses; 2) geya, verses; 3) gāthā, verse part of a discourse; 4) nidāna, historical narratives; 5) itivṛttaka, activities of Buddha or his disciples in past lives; 6) jātaka, Buddhaʼs past life stories; 7) adbhuta-dharma, Buddhaʼs miraculous acts; 8) avadāna, legends; 9) upadeśa, didactic lessons; 10) udāna, teachings offered by the Buddha without prompting; 11) vaipulya, expanded teachings; 12) vyākaraṇa, guarantees of future attainment.",,,DDB
极乐 ,ultimate bliss,"It's the  highest joy (Skt. sukha). Also Sukhāvatī, the name of the Pure Land of Amitâbha Buddha.",,,DDB
