中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
汉语系佛教,,Chinese Language Buddhism,微信群,佛教常识的英文正译,,,,,,
行,impulse,Impulse is the judgment of things and put it into action.行，为造作义，是对事物进行判断并诉诸行动。,菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P11,,,
行病鬼王,the Ghost King Spreader of Sickness,"In addition, all the great Ghost Kings from the Saha and other worlds came and gathered together. They were:the Ghost King Evil 'Eyes, the Ghost King Blood-drinker, the Ghost King Essence and Energy-eater, the Ghost King Fetus and Egg-eater, the Ghost King Spreader of Sickness, the Ghost King Collector of Poisons, the Ghost King Kind-hearted, the Ghost King Blessings and Benefits, the Ghost King Great Regard and Respect, and others. 复有他方国土及娑婆世界、诸大鬼王、所谓恶目鬼王、啖血鬼王、啖精气鬼王、啖胎卵鬼王、行病鬼王、摄毒鬼王、慈心鬼王、福利鬼王、大爱敬鬼王，如是等鬼王、皆来集会。",经论,《地藏菩萨本愿经》,,第一品,万佛城,,,
行苦,suffering from impermanence,"Due to our understanding going against factual existence of the world, suffering from impermanence comes into existence.由于自己的认识与“行”的事实相违背，因而导致“行苦”。",菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P10,,,
行善,do good works,"人的命运是掌握在自己手中的，只要能努力行善、改过，命运就会慢慢改善。Our destiny is in our own hands. As long as you put in effort to do good works and correct your own faults, your destiny will gradually change for the better.",龙泉寺,龙泉微开示,,9/13/2017,学诚法师,,,
行愿广大无边,immeasurable practices and aspirations,immeasurable practices and aspirations行愿广大无边,菩提书院,导师微博,,3/18/2017,,,,
行者,cultivator,"凡是对佛教有信心的人，努力修行的人，地藏王菩萨会在该行者的禅定之中，或梦寐之中，现身为他说法。If someone has faith in Buddhism and applies effort in cultivation, the Bodhisattva will appear in that cultivator’s samadhi or dreams and speak Dharma for him.",各种开示,《效法地藏王菩萨》,,宣化上人,,,,
行住坐卧,"walking, standing, sitting and reclining","The daily routine in the monastery, such as walking, standing, sitting and reclining is quite different from that in society.也就是我们在寺院当中的，行住坐卧的一切，这种规律，这种生活的内容，已经跟社会上一般不学佛的人有很大的不同。",龙泉寺,LQI20170816,,修行是改变我们日常生活的习惯 | Practicing to Change Our Daily Habits,学诚法师,,,
好高骛远,bite off more than one can chew,只幻想果相的辉煌，不肯在因地好好努力，就是好高骛远；以高远理想为宗旨，当下从小处步步做起，就是树立大志。To merely dream about a grand outcome without working hard on the cause  is to bite off more than one can chew. To aim at great goals but move forward step by step is to have the real aspiration.,龙泉寺,龙泉微开示,,3/17/2017,学诚法师,,,
好好的,be as right as rain,"上一集还好好的，下一集突然转折，这一集还在痛苦，下一集或许又柳暗花明。You might be as right as rain in one episode, then take a sudden turn for the worse in the next; you might be in agony in the present one, then experience an epiphany in the following one.",龙泉寺,龙泉微开示,,2/3/2017,学诚法师,,,
好人没好报,good people usually have no good reward,"好人没好报，是目光短浅，不懂因果；好心办坏事是缺乏智慧，但事情的结果不好，并不一定没有造善业。A person believing""good people usually have no good reward""is short-sighted and lacks knowledge of the law of cause and effect.""Good intentions bring bad results""is caused by lack of wisdom.Even if the results are bad,you may still be creating good karma because you have good intentions.",龙泉寺,龙泉微开示,,2/19/2017,好心办坏事Good intentions bring bad results,,,
好人缘,get on good terms with others,"真诚、热情、善意，就有好人缘。Be sincere, warm and kind, and then you will get on good terms with others.",龙泉寺,龙泉微开示,,8/20/2017,学诚法师,,,
好事,good deed,"The Chan Master once taught, “It is a good deed to worship Buddhas, but a better deed is no deed.” Why is a better deed no deed?“拜佛是好事，好事不如无。”拜佛是好事，好事怎么不如无事呢？",龙泉寺,LQI20171008,,LQI20171008追求究竟的成就 | Pursuing the Ultimate Achievement,学诚法师,,,
好事要提得起,take up good deed,"好事要提得起，是非要放得下，成就别人即是成就自己。Take up good deeds and, let go of hard feelings., In helping othersto, fulfill their goal,, we too gain.",各种开示,静思语,,静思语第19条,证严上人,,,
合掌,joined their palms to form a lotus bud,"As soon as they saw the buddha, the young men ran up the bank of the river, joined their palms to form a lotus bud, and bowed deeply.两小伙子一见到佛陀，立刻跑到岸上来，双手合成莲苞状，然后深深的鞠躬，礼敬佛陀。",读书会,故道白云,,,P9,?,,
合掌恭敬,respectfully joined the palms of his hands,respectfully joined the palms of his hands and said to the Buddha合掌恭敬而白佛言,经论,金刚经,,英语佛教微信公众号,,,,
合掌鞠躬,joined their palms and bowed,The bhikkhus joined their palms and bowed.比丘们都合掌鞠躬，以示遵从,读书会,故道白云,,第五十五章,P544,,,
何处惹尘埃,,where can dust alight,各种开示,慧日佛教英语,,六祖大师偈子,传喜法师,,,
和风细雨,be amiable to everyone,慈悲未必要事事顺从，也未必是和风细雨。Compassion does not necessarily mean that we are acquiescent to everything and amiable to everyone.,菩提书院,导师微博,,5/8/2017,,,,
和合,assembled,"生命是一个巨大的和合现象，因此生命是无常的。Life is a big array of assembled phenomena, and thus life is impermanent.",读书会,正见,,Chapter 2 P,,,,
很表面的,superficial,"Bhikkhus, most people who praise the Buddha, Dharma, and Sangha possess only superficial understanding. 比丘们，多数称赞佛、法、僧的人都只是具备很表面的浅见。",读书会,故道白云,,第五十九章,P591,,,
很深的轻安和愉悦,deep ease and joy,"Then the elephant, too, entered her effortlessly, and all at once she was filled with deep ease and joy. 跟着，那大象自己也全不费力地进去了，而王后顿时感到一阵轻快和愉悦。",读书会,故道白云,,,P64,?,,
恒常的,for all eternity,"如果有人相信其中之一真实存在——不论是短暂的或恒常的——那么他的信念就是根源于误解。As long as one believes that such things truly exist-either momentarily or ""for all eternity""-one's belief is rooted in misunderstanding.",读书会,正见,,Chapter 2 P,,,,
恒河,The Ganga,"Siddhartha crossed the Ganges River, known as Ganga, and entered deep into the kingdom of Magadha, a region and renowned for his accomplished spiritual teachers.悉达多渡过了有名的恒河， 进入摩揭陀王国。 来到一个因有多位伟大精神导师而着称的地带。",读书会,故道白云,,,P142,?,,
横看成岭侧成峰，远近高低各不同。,"From the front, a whole range; from the side, a single peak; far or near, high or low, no views alike.","不要太执着于自已的是非观念，多听听别人的想法，所谓“横看成岭侧成峰，远近高低各不同”。As a poem about Mountain Lu goes, ""From the front, a whole range; from the side, a single peak; far or near, high or low, no views alike.” ​​​​",菩提书院,导师微博,,5/31/2017,,,,
弘法,,Propagate Buddha-Dharma/ Preach the Buddha doctrine.,微信群,各种微信,,,"德明师兄意见：如果比较正规的译法，建议不用spread，语境中有一种传播、散布的意思，字典里也基本是propagate, preach",,,
弘扬佛教,propagate Buddhism,暴力从未在佛教的传扬中扮演过任何角色。Violence has never played a part in propagating Buddhism.,读书会,正见,,Introduction P1,,,,
红尘,The Mundane World/secular world,"有专家来访，交流一些佛学及人生问题，随行的一位学生听了谈话说：“我开悟了！千万别，我的红尘生活才开始呢。”“In The Mundane World”An expert visited me and we exchanged some views on Buddhism and life. One of his students who accompanied him during our conversation said, ""I think I am somewhat awakened, but I wish this would never affect the way I live. I have just started my life in this secular world!""",菩提书院,导师微博,,4/13/2017,,,,
红尘滚滚，诱惑重重,be full of billowing hustle and bustle as well as temptations,"在今天这个喧哗的时代，红尘滚滚，诱惑重重，加之缺乏道德底线和做人标准，想要不犯错是很难的。This unquiet age is full of billowing hustle and bustle as well as temptations. In addition, the lack of moral standards and conduct code makes it fairly hard for you to make no mistakes.",菩提书院,导师微博,,2/22/2017,,,,
华盖，巨蓬,canopy,Sujata admired its massive trunk and raised her head to gaze at the leafy branches which spread out like an enormous canopy.他又带她去看那毕波罗树，善生被那庞大的树干吸引住了。她抬头凝视着散开像巨篷的枝叶。,读书会,故道白云,,,P59,?,,
华严经、法华经、楞严经,（see texts),"He will guide the Sangha and lay people to practice together, mainly sutra chanting, such as the Avatamsaka Sutra, Lotus Sutra and Shurangama Sutra就会带僧俗弟子一起共修，主要内容就是诵经，以《华严经》、《法华经》、《楞严经》为主。",龙泉寺,LQI20170920,,LQI20170920诵经的目的 | With What Kind of Motivation to Chant Sutras,学诚法师,,,
化解,resolve,"与他人相处有不善的缘，是过去有恶的种子，现在应该要去化解、改善，而不能增益。 Unfavorable conditions result from the bad seeds in the past, so now you need to resolve and improve the conditions rather than reinforcing them.",龙泉寺,龙泉微开示,,10/5/2017,学诚法师,,,
化解,dissolve,the seeds of thought and attachment dissolved 思想和执着的种子被化解了,读书会,故道白云,,,P137,?,,
化乐天,the Blissful Transformations Heaven,"After he uttered indescribably many sounds, countless millions of gods, dragons, ghosts, and spirits from the Saha and other worlds also gathered in the Palace of the Trayastrimsha Heaven. They came from the Heaven of the Four Kings, the Trayastrimsha Heaven, the Suyama Heaven, the Tushita Heaven, the Blissful Transformations Heaven, and the Heaven of Comfort Gained Through Others' Transformations.They came from the Heaven of the Multitudes of Brahma, the Heaven of the Ministers of Brahma, the Heaven of the Great Brahma Lord, the Heaven of Lesser Light, the Heaven of Limitless Light, the Heaven of Light Sound, the Heaven of Lesser Purity, the Heaven of Limitless Purity, and the Heaven of Universal Purity.They came from the Birth of Blessings Heaven, the Love of Blessings Heaven, the Abundant Fruit Heaven, the No Thought Heaven, the No Affliction Heaven, the No Heat Heaven, the Good Views Heaven, the Good Manifestation Heaven, the Ultimate Form Heaven, the Maheshvara Heaven, and so forth, to the Heaven of the Station of Neither Thought Nor Non-Thought. All those groups of gods, dragons, ghosts and spirits came and gathered together.　　出如是等不可说不可说音已，娑婆世界，及他方国土，有无量亿天龙鬼神，亦集到忉利天宫，所谓四天王、忉利天、须焰摩天、兜率陀天、化乐天、他化自在天、梵众天、梵辅天、大梵天、少光天、无量光天、光音天、少净天、无量净天、遍净天、福生天、福爱天、广果天、无想天、无烦天、无热天、善见天、善现天、色究竟天、摩酰首罗天、乃至非想非非想处天，一切天众、龙众、鬼神等众，悉来集会。",经论,《地藏菩萨本愿经》,,第一品,万佛城,,,
化难为易,Break down a task,化难为易 | Breaking Down a Task,龙泉寺,龙泉微开示,,6/5/2017,学诚法师,,,
化身,transformation bodies,"同时也学习观音菩萨大慈大悲精神，成为菩萨的—支手，一个化身，让慈悲大爱充满人间。May we follow her example of great kindness and compassion and become her helping hands and transformation bodies, filling the world with great love and compassion！（Note: A transformation body can appear in any form whenever and wherever necessary for the sake of crossing over others.）",菩提书院,导师微博,,3/16/2017,response body/transformation Buddha,,,
话头,head phrase”(the main phrase in meditation to arouse doubts),"There is a “head phrase”(the main phrase in meditation to arouse doubts) in Chinese Chan sect: ""what is the true nature before any thought arises?""禅宗有个话头是：“一念未生前本来面目是什么？”",菩提书院,小丛书,,人生五大问题,6,,,
怀胎守护恩、临产受苦恩、生子忘忧恩、咽苦吐甘恩、回干就湿恩、哺乳养育恩、洗濯不净恩、远行忆念恩、深加体恤恩、究竟怜悯恩,,"《父母恩重难报经》说到十种：怀胎守护恩、临产受苦恩、生子忘忧恩、咽苦吐甘恩、回干就湿恩、哺乳养育恩、洗濯不净恩、远行忆念恩、深加体恤恩、究竟怜悯恩。经常忆念母亲恩德，可以生起知恩图报之心。In “The Filial Piety Sutra”, Buddha stated ten types of kindnesses bestowed by the mother on the child:  ☆The first is the kindness of providing protection and care while the child is in the womb.☆The second is the kindness of bearing suffering during the birth.☆The third is the kindness of forgetting all the pain once the child has been born.☆The fourth is the kindness of eating the bitter herself and saving the sweet for the child.☆The fifth is the kindness of moving the child to a dry place and lying in the wet herself.☆The sixth is the kindness of suckling the child at her breast, nourishing and bringing up the child.☆The seventh is the kindness of washing away the unclean.☆The eighth is the kindness of always thinking of the child when it has traveled far.☆The ninth is the kindness of deep care and devotion.☆The tenth is the kindness of ultimate pity and sympathy.Frequently remembering Mother’s kindness and grace could help us arouse the heart of gratitude.",菩提书院,导师微博,,5/14/2017,,,,
坏苦,suffering from change,"It normally refers to those feelings that make us feel happy. From the wisdom of Buddha Dharma, our so-called happiness is not true happiness. Its true nature is also of suffering.坏苦是我们以为的快乐的感受， 从佛法的智慧来看， 这些快乐的本质是苦。",菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P10,,,
欢喜心,a joyful heart,"以欢喜心做事，即使忙碌却不感到辛苦，反而觉得甘甜。If we work , with a joyful heart,, no matter how tiring and, demanding the task is,, we will be rewarded, with a sense of , bliss and joy.",各种开示,静思语,,静思语第37条,证严上人,,,
欢喜心,a heart of joy,"想要家庭吉祥、和睦，就应该常常起欢喜心，天天为自己的家庭祝福。To have a warm and happy family,, we should nurture a heart of joy, and shower our family with blessings.",各种开示,静思语,,静思语第99条,证严上人,,,
缓解之物,antidote,"This is none other than hell. We have these kinds of hells because of causes and conditions, and therfore we can also exit these hells by using love and compassion as antidotes to anger and hatred, as Buddha prescribed.这与地狱无别。由于因缘，我们有了这种地狱，因为我们也可以利用佛陀教导的爱与慈悲，对治愤怒与仇恨，来离开这个地狱。",读书会,正见,,Chapter 1 P31,,,,
患得患失,be swayed by considerations of gain and loss. Let go of burdens,"因此，既要认真对待，又不能过分患得患失。放下包袱，立足当下，尽力而为。That’s why we need to take it seriously, but avoid being swayed by considerations of gain and loss. Let go of burdens, focus on the tasks at hand, and leave no stone unturned.",龙泉寺,龙泉微开示,,6/8/2017,学诚法师,,,
黄色袍子,saffron skirt/robe,In fact many seem to think that saffron or maroon robes and a peaceful smile are all it takes to be a Buddhist.事实上，很多人似乎认为黄色或红色袍子加上平和的笑容，就是佛教徒的全部。,读书会,正见,,Introduction P1,,,,
挥霍无度,immoderate consumption,因为挥霍无度，人类的福报正在逐渐减少。 Human blessings are gradually decreasing because of their immoderate consumption.,菩提书院,导师微博,,2/28/2017,,,,
恢复体力,rebuild his strength,He suggested that the Buddha rest from begging for a few days in order to rebuild his strength.他提议佛陀暂停乞食几天来恢复体力,读书会,故道白云,,,P584,?,,
慧,Wisdom,"慧能运心转境 Wisdom isto , take control of our mind , and change our destiny.",各种开示,静思语,,静思语第11条,证严上人,,,
慧命增长,grow spiritually,"若能福慧双具，就是慧命增长。By cultivating, blessings and wisdom,, we grow spiritually.",各种开示,静思语,,静思语第62条,证严上人,,,
慧眼,wisdom eye,Since I have acquired the wisdom eye I have not heard of such a sutra.我从昔来所得慧眼，未曾得闻如是之经,经论,金刚经,,英语佛教微信公众号,,,,
昏沉,forgetfulness,"These two breaths enable you to cut through forgetfulness and unnecessary thinking, at the same time giving rise to mindfulness and enabling you to encounter life in the present moment. 这两口气息能帮助你打断昏沉和妄念，同时使你生起专念和接触当下此刻的生命。",读书会,故道白云,,第五十六章,P559,,,
昏沉、散乱、读不懂记不住,"drowsy,disoriented, scatterbrained","When our state of mind is not at its best during sutra chanting, we feel drowsy, disoriented, and scatterbrained,therefore, we fail to understand and remember anything, whereas in other occasions when our state of mind is clearer, we can focus on understanding the texts and read between the lines.状态不太好的时候诵经，昏沉、散乱、读不懂也记不住；状态比较好的时候，就会注重理解文字大意，看看经文里说了些什么内容。",龙泉寺,LQI20170920,,LQI20170920诵经的目的 | With What Kind of Motivation to Chant Sutras,学诚法师,,,
昏沉、散乱、失念、不正知,"torpor, distraction, forgetfulness,the lack of comprehension","As such, by recognizing impermanence, we allow this concept to take hold of our minds and to serve the purpose of curing our torpor, distraction, forgetfulness, and the lack of comprehension.我们如果能够认识到无常，让无常这个法能够在自己的心里现起、产生作用，就容易对治自己的昏沉、散乱、失念、不正知。",龙泉寺,LQI20170629,,觉照无常智慧生,学诚法师,,,
活佛,Living Buddha,"2016年1月18日，藏传佛教活佛查询系统正式上线。On January 18, 2016, the Tibetan Buddhist Living Buddha inquiries system was officially opened online.",微信群,各种微信,,《中国佛教现状》,学诚法师,,,
活在当下,dwell mindfully in the present moment,"“Friends, the lotus in my hand is only real to those of you who dwell mindfully in the present moment.朋友们，我手中的莲花，只对那引起活在当下的人而言，才是真实的",读书会,故道白云,,第五十一章,P503,,,
火上浇油,adding fuel to fire,"We are already afflicted with greed, and when our minds steer us towards more material pursuits, it is like adding fuel to fire. 我们本来就有贪欲的烦恼，自己的内心又向这样一个强烈的境界去追逐，无疑是火上浇油。",龙泉寺,LQI20170323,,20170323 五欲的性相,学诚法师,,,
火遇到油会燃烧，遇到水则会熄灭,Fire flares up in oiland dies down in water.,"火遇到油会燃烧，遇到水则会熄灭；他人只是外缘，烦恼的根源在自己心里。Fire flares up in oiland dies down in water.Other people are just external conditions,while the root cause of anger lies in your heart.",龙泉寺,龙泉微开示,,2/23/2017,学诚法师,,,
或人为谋利，因愚卖身讫，然利犹未得，空随业风去。,,"Deluded by sensual desires, they sell themselves for that which they never acquire. Instead, their life is uselessly spent in labor for others.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
或人自售身，任随他指使，妻妾纵临产，荒郊树下生。,,The wives of those who have sold themselves and who always carry out commissions give birth at the feet of trees in the jungles and other inappropriate places.,经论,《入行论》,,静虑品,菩提如意宝珠,,,
或需赴他乡，长途历辛劳，虽欲会娇妻，终年不相见。,,"Others are afflicted by traveling abroad and suffer as they are far from home; and though they long for their wives and children, they do not see them for years on end.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
惑,,ignorance,微信群,佛教常识的英文正译,,,,,,
惑业,delusion and karma,"真切认识到惑业的过患，必然愿意生起出离解脱之心。Having a clear knowledge of faults and distress caused by delusion and karma, we are bound to have a desire for the extrication from samsara.",菩提书院,导师微博,,6/8/2017,,,,
惑业苦,"delusions, karma and sufferings","In the view of Buddhism, life is made up of delusions, karma and sufferings. 佛教认为，人生是由惑业苦组成。",菩提书院,小丛书,,人生五大问题,13,,,
积护耗尽苦，应知财多祸，贪金涣散人，脱苦遥无期。,,"Consider wealth as an unending misfortune because of the troubles of acquiring, protecting, and losing it. Those who are distracted by attachment to wealth have no opportunity for liberation from the suffering of mundane existence.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
稽首顶礼,bow my head to,"I bow my head to the chief of the Sakyas, …, whose mind sees precisely all objects of knowledge. 向释迦尊主稽首顶礼...其心意能如实观见一切所知境。",经论,《菩提道次第广》,,序分,妙音佛学丛书翻译组以及Snow Lion Publications,,,
吉祥草,kusha grass,"在途中，他遇见了一位名叫苏提亚的草贩，供养了他一把吉祥草。Along the way he met a grass seller named Sotthiya, who offered him a handful of kusha grass.",读书会,正见,,Chapter 2 P,,,,
极不寻常的，有点可笑（吓人的）,outrageous,"A small handful of so-called gifted people might have the courage or the skill to go beyond convention, and as long as their view isn't too outrageous, they might be able to pass themselves off as artists such as Salvador Dali.有少数所谓的“天才”可能有勇气或技艺来超越习俗，而只要他们的观点不是太过分，还可能用艺术家之名得到认同。",读书会,正见,,Chapter 3 P59,,,,
即有即空,emptiness in being,"The Dharma is not about knowledge or learning. Nor is it about emptiness or being, non-emptiness or non-being, or emptiness in being.佛法不是知识，不是学问，不是空，不是有，不是非有非空，不是即有即空。",龙泉寺,LQI20170911,,不立文字 | With or Without Words,学诚法师,,,
集谛,the cause of suffering,"The second truth is the cause of suffering. Because of ignorance, people cannot see the truth about life, and they become caught in the flames of desire, anger, jealousy, grief,worry, fear, and despair第二圣谛是痛苦的根源由于无明，我们看不到生命的真相因而往被困在欲望、瞋怒嫉妒伤心忧愁和恐惧之火焰中.",读书会,故道白云,,,P219,?,,
嫉恶如仇,abhor evils as deadly foes,"菩萨和侠客的不同在于，侠客在除暴安良时，往往嫉恶如仇。而菩萨则平等看待众生，即使对恶人恶事，依然保有慈悲之心。A Bodhisattva differs from a chivalrous hero in the way they perceive and behave. A chivalrous hero tends to abhor evils as deadly foes when getting rid of the cruel and pacifying the good, while a Bodhisattva treats all sentient beings equally and is compassionate even to the wicked.",菩提书院,导师微博,,2/20/2017,,,,
偈语,gatha,"Sariputta silently recited a gatha,and then shaved off several locks of Svasti's hair.舍利弗默念一首偈语后，便将缚悉底头上几撮发剃下。",读书会,故道白云,,,P20,?,,
加持,empower,"开光是通过庄严的仪式加持于佛像等，增长人们内心的恭敬、信心与虔诚，其根本在于开启人内心的善法光明。Consecration is to empower Buddha statues through holy rites, in order to strengthen people's reverence, faith and sincerity. The main purpose is to inspire the virtues inside people.",龙泉寺,龙泉微开示,,2/20/2017,aid,,,
加持,empowerment,"Without external empowerment, we are hardly able to remain mindful when the demons of lethargy, laxity and wrong views attack如果没有外在力量的加持，靠我们自身能力去提策正念是不容易的。因为当烦恼、邪见生起时，通常没有办法对付",龙泉寺,LQI20170701,,同行善友的重要 | The Importance of Darma Friends,学诚法师,,,
加持,grace,"通过虔诚的礼拜，可以使心灵得到净化，并与佛菩萨感应道交，从而获得加持。Through pious worshipping, one can purify his mind and achieve interaction of empathy and response with Buddhas and Bodhisattvas, thereby receiving their grace.",菩提书院,导师微博,,9/7/2017,,,,
加持,the blessings,"愿我们在月光菩萨的加持下，拥有宁静、清凉、皎洁之心。May we possess a peaceful, refreshing and bright mind with the blessings of Moonlight Bodhisattva.",菩提书院,导师微博,,10/4/2017,,,,
加持的,bring you blessings,Watching the documentary will bring you blessings看那个就有加持的,各种开示,慧日佛教英语,,每一位善知识证悟到空性，那跟佛都是不二的,传喜法师,,,
加持力,blessings from the Buddhas and Bodhisattvas.,"In Buddhist cultivation, we mainly rely on ourselves despite the fact that sometimes we seek blessings from the Buddhas and Bodhisattvas. 而在佛教修行中，虽然也依靠佛菩萨的加持力，但主力却是自己。",菩提书院,小丛书,,人生五大问题,4,,,
迦那,,Channa,读书会,正见,,Chapter 1 P7,,,,
迦毗罗卫城,the city of Kapilavatthu,"Svasti, I did not tell you yet, but when I was young I was a prince, the son of King Suddhodana in the city of Kapilavatthu.缚悉底，我还未告诉你，我年幼时是个王子。我父亲是迦毗罗卫国的净饭王。",读书会,故道白云,,,P51,?,,
迦毗罗卫国,,Kapilavastu,读书会,正见,,Chapter 1 P7,,,,
迦叶佛,,Kasyapa Buddha,微信群,佛教常识的英文正译,,,,,,
迦叶摩腾,,Kasyapa Matanga,微信群,佛教常识的英文正译,,,又称摄摩腾、竺摄摩腾、竺叶摩腾,,,
袈裟,Kasaya,"袈裟本是一种颜色的名称，因为佛制僧人必须穿染衣，避用青黄赤白黑五正色，而用一种杂色，即袈裟色。Kasaya originally was the name of a tincture used to die robes, because the Buddhist monks had to dress in dyed robes of mixed color, or Kasaya color, to avoid five pure colors of indigo, yellow, red, white and black.",微信群,佛教常识问答,,第三章第36问,作者：赵朴初,,,
假名有,presumed existence,Presumed existence defines that the existence of things is no more than labelling them with a kind of false name; different names are given according to different causes and conditions.事物的存在不过是假名安立， 随不同因缘安立各自的名称。,菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P14,,,
价值参照系统,a value parameter system,"In the construction of social morality, religion is a basic cultural background that we must face, a value parameter system that we can learn from, and a rich moral resource that is indispensable.它是社会道德建设必须面对的一个基本的文化背景，一个可资借鉴的价值参照系统，一种丰富的不可或缺的重要道德资源。",龙泉寺,LQI20170728,,信仰的力量 | The Power of Faith,学诚法师,,,
驾驭内心,tame one's minds,"当人类无法驾驭内心，聪明才智反倒变成戕害自身的利器，甚至成为毁灭世界的祸根。When humanity cannot tame their minds, their intelligence and cleverness will turn out to be a sharp weapon which they might hurt themselves with, or even an epidemic that might ruin the world.",龙泉寺,龙泉微开示,,2/24/2017,学诚法师,,,
坚持，信守,adhere to,"It is devious and misguided to imagine(as I sometimes do) simplifying Buddhism into defined, calculated practices like meditating three times a day, adhering to certain dress codes, and holding certain ideological beliefs, such as that the whole world must be converted to Buddhism.以歪理歧见来想象（如同我有时会做的），将佛教简化成定性、定量的修行，诸如每日禅坐三回，坚持穿着某种服装，坚信某种意识形态新年，譬如“全世界的人都应该转信佛教”。",读书会,正见,,Introduction P2,,,,
坚固,take root,"Without self-questioning, our wrong views will gradually take root and mislead us into believing that nobody but ""I"" is correct.如果不能扪心自问，不能对自己起疑情，自己的一些错误观点就会越来越坚固，就会认为自己最正确",龙泉寺,LQI20170620,,反省之“常起疑情”,学诚法师,,,
监院/当家,,Monastic Manger,微信群,佛教常识的英文正译,,,,,,
检讨自身过失，随喜他人功德，,reflect on our own demerits and defects and rejoice in others’ merits and virtues,检讨自身过失，随喜他人功德，这是我们应该学会的能力。We should learn to reflect on our own demerits and defects and rejoice in others’ merits and virtues. ​​​​,菩提书院,导师微博,,5/13/2017,,,,
见思惑,wrong views and erroneous thought,"断除了见惑的叫做须陀洹果，即初果；进而断除思惑，按照其浅深粗细不同而有斯陀含果（二果）和阿那含果（三果）；到了阿罗汉的果位（四果），见惑思惑都已断尽，证得涅盘。The first stage is to dispel wrong views. That is called Sotapanna (the fruition of stream winning), i.e. the initial fruition. The second stage, Sakadagami (the second fruition of once return), and the third, Anagami (the third fruition of non-return) are gradually reached by casting off erroneous thought according to their different dimensions and subtleties. When the fourth stage of Arahat is reached, both wrong views and erroneous thought have been completely wiped out and Nibbana attained.",微信群,佛教常识问答,,第三章第3问,作者：赵朴初,,,
渐修,,gradual cultivation,微信群,佛教常识的英文正译,,,,,,
将心比心,feel for others,"凡事多换位思考，将心比心，多考虑大局。Try to be empathetic with and feel for others, and see the big picture in our conduct.",龙泉寺,龙泉微开示,,8/20/2017,学诚法师,,,
讲佛法,preach to sb.,"According to scriptures, one day the Buddha was ill and Ananda was preaching to some hearers在经典中记载了一个故事，佛陀有一次生病，正在休息，这时阿难在外面给别人讲佛法",龙泉寺,LQI20170713,,听法久了疲了怎么办？| Gradually Lose Interest and Motivation in Listening?,学诚法师,,,
憍陈如,Kondanna,The abbot of the monastery was amonk nemed Kondanna.寺院常住则是一个名叫憍陈如的比丘,读书会,故道白云,,,P19,?,,
皎洁明月光，清凉似檀香。倾泄平石上，如宫意生欢。,,"Becoming disillusioned with sensual desires in that way, generate delight in solitude in the peaceful forest, devoid of strive and annoyances.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
皎洁之心,bright mind,"愿我们在月光菩萨的加持下，拥有宁静、清凉、皎洁之心。May we possess a peaceful, refreshing and bright mind with the blessings of Moonlight Bodhisattva.",菩提书院,导师微博,,10/4/2017,,,,
觉察,awareness,悉达多的解答是——培养对情绪的觉察。Siddhartha's solution was to develop awareness of the emotions.,读书会,正见,,Chapter 2 P,,,,
觉满,,full enlightenment,微信群,佛教常识的英文正译,,,,,,
觉他,,universal enlightenment,微信群,佛教常识的英文正译,,,,,,
觉悟,,To get enlightenment,微信群,佛教常识的英文正译,,,,,,
觉悟,awakening and enlightenment,"The Buddha represents awakening and enlightenment, i.e., he must first gain self-awakening before he can awaken others, and thereafter, both he and others can reach Buddhahood by obtaining the perfect enlightenment佛就是觉悟，首先是自觉，才能够去觉他，然后自己跟别人都圆满了，成佛了，自觉觉他，觉行圆满。",龙泉寺,LQI20170717,,寂静 · 觉照 · 自律 | Stillness · Mindfulness · Self-Discipline,学诚法师,,,
觉照,observation,"这些都非常清楚，就是觉照的功夫非常强。In other words, our observation is sharp.",龙泉寺,龙泉微开示,,5/10/2017,学诚法师,,,
觉照功夫,degree of enlightened mindfulness,"If we are alert to every detail of the arising thought, we have achieved a strong degree of enlightened mindfulness.这些都非常清楚，就是觉照的功夫非常强。",龙泉寺,LQI20170717,,寂静 · 觉照 · 自律 | Stillness · Mindfulness · Self-Discipline,学诚法师,,,
觉者,,the Awakened One,读书会,正见,,,,,,
觉知,awareness,"如果你认真地想要根除痛苦，你必须培养觉知，留心你的情绪，并且学习如何避免被鼓动起来。If you seriously wish to eliminate suffering, you must generate awareness, tend to your emotions, and learn how to avoid getting worked up.",读书会,正见,,Chapter 2 P,,,,
觉知和清明,,awareness and sanity,读书会,正见,,Chapter 2 P40,,,,
较浅的文字层面,stop at scratching the surface,"Usually in this case, we understand the text, but only stop at scratching the surface.通常在这种情况下，我们对经文的理解，还只停留在较浅的文字层面",龙泉寺,LQI20170920,,LQI20170920诵经的目的 | With What Kind of Motivation to Chant Sutras,学诚法师,,,
