中文,英文,摘自,Comments
阿耨多罗三藐三菩提,Anuttara-samyak-sambodhi (the highest perfect awakening),《心经》的禅观/向观音菩萨学修行,
成阿耨多罗三藐三菩提,attain Anuttara-samyak-sambodhi,向观音菩萨学修行,
无上正等正觉,supreme perfect enlightenment,《心经》的禅观,
殊胜,excellence,《心经》的禅观,
殊胜的,auspicious/exceptional/wondrous and supreme,《心经》的禅观/向观音菩萨学修行,
真实不虚,true and not deceptive,《心经》的禅观,
咒/咒语,mantra,《心经》的禅观,
发心/愿心,aspiration/resolve and motivation,《心经》的禅观/当代宗教问题,
初发心,the beginning vows,当代宗教信仰问题的思考,
初发心非常猛利,with great resolve and motivation at the beginning,当代宗教信仰问题的思考,
发愿,vow,向观音菩萨学修行,
出离心,"renunciation
the mind of renunciation","当代宗教信仰问题的思考
开启正念与慈悲大爱",
菩提心,"bodhicitta
the mind of bodhicitta
the Bodhi mind","《心经》的禅观
开启正念与慈悲大爱
煮茶观心",
世俗菩提心,conventional bodhicitta,向观音菩萨学修行,
胜义菩提心,ultimate bodhicitta,向观音菩萨学修行,
发出离心,initiate the mind of renunciation/develop the mind of renunciation,开启正念与慈悲大爱,
发菩提心,"cultivate the bodhicitta, the mind of enlightenment
give rise to bodhicitta
initiate the mind of bodhicitta","《心经》的禅观
向观音菩萨学修行
开启正念与慈悲大爱",
践行/实践菩提心,practice bodhicitta,向观音菩萨学修行,
行持,practices,向观音菩萨学修行,
具体行持,practical conduct,《心经》的禅观,
功德,virtues/merits,向观音菩萨学修行,
无量无边的殊胜功德,the immeasurable superior merits,向观音菩萨学修行,
利益一切众生,benefite all sentient beings,《心经》的禅观,
利器,a powerful tool,《心经》的禅观,
向xx学修行,studying the Path with,向观音菩萨学修行,
xx菩萨圣诞日,xx Bodhisattva’s (sacred) Birthday,向观音菩萨学修行,
xx菩萨成道日,xx Bodhisattva’s Enlightenment Day,向观音菩萨学修行,
身世,origin,向观音菩萨学修行,
记载,account,向观音菩萨学修行,
耳根圆通,achieve Perfect Realization Based on the Auditory Faculty,向观音菩萨学修行,
耳根圆通的修行,the practice of perfect realization based on the auditory faculty,向观音菩萨学修行,
耳根圆通的法门,method of achieving Perfect Realization Based on the Auditory Faculty,向观音菩萨学修行,
大悲周遍的修行,the practice of all-encompassing great compassion,向观音菩萨学修行,
信众,devotee/Buddhist,向观音菩萨学修行/心灵创造幸福,
敬香,offer incense,向观音菩萨学修行,
礼佛,pay homage to buddhas and bodhisattvas/venerate the buddhas,向观音菩萨学修行,
香火鼎盛,the scent of incense permeate the air,向观音菩萨学修行,
烧香,burn incense,向观音菩萨学修行,
祈福,seek blessing,向观音菩萨学修行,
(思想)相契/相应,resonate,向观音菩萨学修行,
(行为)相应,align with,向观音菩萨学修行,
和佛菩萨相应,connect with buddhas and bodhisattvas,向观音菩萨学修行,
和佛菩萨感应道交,resonate and connect with buddhas and bodhisattvas,向观音菩萨学修行,
玄学,metaphysics,《心经》的禅观,
如理如法,align with the Dharma,向观音菩萨学修行,
正信,"right faith
right belief","向观音菩萨学修行
当代宗教信仰问题的思考",
正信的,authentic,当代宗教信仰问题的思考,
迷信,"superstition
superstitious belief","向观音菩萨学修行
当代宗教信仰问题的思考",
邪信,deviant belief,当代宗教信仰问题的思考,
盲信,blind faith,向观音菩萨学修行,
忆念三宝,remember the Three Jewels,向观音菩萨学修行,
见贤思齐,emulate the virtuous,向观音菩萨学修行,
信佛,embrace Buddhism,向观音菩萨学修行,
圆满xx菩萨的品质,acquirie xx's perfected/perfect qualities,向观音菩萨学修行,
xx菩萨的本怀,the true intention of xx,向观音菩萨学修行,
出世本怀,he true purpose of his appearance in our world,向观音菩萨学修行,
(佛陀出世的)本怀,the very reason,向观音菩萨学修行,
(佛菩萨)出世,appeare in the world,向观音菩萨学修行,
佛菩萨出世,buddhas and bodhisattvas appeare in our world/come to this world,向观音菩萨学修行,
佛陀出世,the Buddha’s appearance in this world,向观音菩萨学修行,
以种种方便,skillfully employ various methods,向观音菩萨学修行,
依教奉行,"follow the teachings as guidance in one's spiritual cultivation
practise according to the teachings
practice according to Buddha's teachings","向观音菩萨学修行
当代宗教问题
当代宗教信仰问题的思考",
善根,virtuous roots/wholesome root,向观音菩萨学修行,
种点善根,plant some seeds of merit,向观音菩萨学修行,
坏人善根,ruin good roots,当代宗教信仰问题的思考,
求求拜拜,pray for/seek blessings/pray and worship,向观音菩萨学修行/当代宗教问题,
烧香礼佛,praying and incense burning/burn incense or bow before the buddhas,当代宗教信仰问题的思考,
净化内心,cleanse one's minds,向观音菩萨学修行,
开示众生悟入佛的知见,awaken all sentient beings to his wisdom,向观音菩萨学修行,
引导众生行佛所行,guide them along the path he took,向观音菩萨学修行,
证佛所证,help them to realize the same enlightenment,向观音菩萨学修行,
护佑,safeguard,向观音菩萨学修行,
外在加持/保佑,external blessings,向观音菩萨学修行,
成就菩萨品质,cultivate bodhisattvas' qualities,向观音菩萨学修行,
因缘/缘分,karmic connection,向观音菩萨学修行,
与xx缘分特别深,have a profound connection with,向观音菩萨学修行,
供奉,worship,向观音菩萨学修行,
供养,make offerings,向观音菩萨学修行,
本师释迦牟尼佛,Shakyamuni Buddha,向观音菩萨学修行,
寻声救苦,"commit to helping those in distress
respond to the cries of suffering beings
hear and respond to cries of suffering","向观音菩萨学修行
向观音菩萨学修行
向观音菩萨学修行",
登地菩萨,bodhisattvas who realized emptiness,向观音菩萨学修行,
初地,the first stage,向观音菩萨学修行,
十地,the 10th stage,向观音菩萨学修行,
从初地超第八地,advance from the first to the eighth Bhumi (stage of bodhisattva),向观音菩萨学修行,
久远劫,countless kalpas,向观音菩萨学修行,
在过去无量亿劫,countless billions of kalpas ago/uncountable kalpas before,向观音菩萨学修行,
宣说,teach,向观音菩萨学修行,
佛世,at the Buddha’s time,向观音菩萨学修行,
大悲咒,"Nilakantha Dharani, the Great Compassion Mantra/Dharani",向观音菩萨学修行,
如是我闻,"Thus I have heard,",向观音菩萨学修行,
示现神通,demonstrate one's supernatural powers,向观音菩萨学修行,
菩萨摩诃萨,Bodhisattva Mahasattvas,向观音菩萨学修行,
大声闻僧,great sravakas,向观音菩萨学修行,
天人,heavenly beings/devas,向观音菩萨学修行,
三恶道,"the Three Evil Paths
the Three Wretched Realms (the realms of hell beings, hungry ghosts, and animals)","向观音菩萨学修行
生命的痛苦及其解脱",
西方三圣,the Three Saints of the Pure Land,向观音菩萨学修行,
阿弥陀佛/无量寿佛,Amitabha Buddha,向观音菩萨学修行,
大势至菩萨,Mahasthamaprapta Bodhisattva,向观音菩萨学修行,
观世音菩萨/观音菩萨,Guanshiyin/Guanyin Bodhisattva,《心经》的禅观,
文殊菩萨,Manjushri Bodhisattva,向观音菩萨学修行,
地藏菩萨,Ksitigarbha Bodhisattva,向观音菩萨学修行,
普贤菩萨,Samantabhadra Bodhisattva,向观音菩萨学修行,
大悲,great compassion,向观音菩萨学修行,
大悲愿力,the power of one's great compassionate vows,向观音菩萨学修行,
大智,great wisdom,向观音菩萨学修行,
大愿,great vows,向观音菩萨学修行,
大行,great conduct,向观音菩萨学修行,
十方如来,all Tathagatas of the ten directions,向观音菩萨学修行,
千光王静住如来,Thousand Rays King Stillness Tathagata,向观音菩萨学修行,
正法明如来,True Dharma Brightness Tathagata/the Tathagata who Clearly Understands the True Law,向观音菩萨学修行,
宝藏如来,Treasure Tathagata,向观音菩萨学修行,
转轮圣王,a Chakravartin Wheel-Turning Monarch,向观音菩萨学修行,
"广大圆满无碍
大悲心陀罗尼","Vast, Perfect, Unimpeded, Great Compassionate Heart Dharani",向观音菩萨学修行,
授记,"predict one’s future attainment of Buddhahood/bestow upon xx prophecies/
give a prophecy to",向观音菩萨学修行,
利益安乐一切众生,comfort and benefit all sentient beings,向观音菩萨学修行,
安乐成熟诸众生,comfort and enlighten all living beings,向观音菩萨学修行,
甚深法义,the profound teaching of the Dharma,向观音菩萨学修行,
多闻第一,foremost in hearing and remembering the Buddha’s teachings,向观音菩萨学修行,
阿难,Ananda,向观音菩萨学修行,
阿难尊者,Venerable Ananda,向观音菩萨学修行,
娑婆世界,in the Saha World,向观音菩萨学修行,
堪忍,endure,向观音菩萨学修行,
天灾人祸,natural disasters and human-caused catastrophes/natural or human-made disasters/natural disasters and man-made calamities,向观音菩萨学修行/心灵创造幸福,
五浊恶世,the Five Turbidities of the Evil Age,向观音菩萨学修行,
劫浊,Turbidity of the Age,向观音菩萨学修行,
见浊,Turbidity of Views,向观音菩萨学修行,
烦恼浊,"Turbidity of Afflictions,",向观音菩萨学修行,
众生浊,Turbidity of Sentient Beings,向观音菩萨学修行,
命浊,Turbidity of the Lifespan,向观音菩萨学修行,
倒驾慈航,return to this world,向观音菩萨学修行,
广度众生,liberate all beings/liberate all sentient beings,向观音菩萨学修行,
为彼佛下,under that Buddha,向观音菩萨学修行,
苦行的,ascetic,向观音菩萨学修行,
蒙其教化,learn from one's teachings,向观音菩萨学修行,
不可思议威神之力,unimaginable mighty and holy powers,向观音菩萨学修行,
得无上道,achieve the supreme path,向观音菩萨学修行,
转妙法轮,turn the Wheel of the Dharma,向观音菩萨学修行,
在xx的指点教化,under his tutelage,向观音菩萨学修行,
走上觉悟之道,set out on his journey to enlightenment,向观音菩萨学修行,
大音声,great and righteous voice,向观音菩萨学修行,
回向,transfer,向观音菩萨学修行,
退失正法,stray from the true Dharma,向观音菩萨学修行,
天耳,divine ear,向观音菩萨学修行,
天眼,divine eye,向观音菩萨学修行,
安乐,"peace and happiness
happiness","向观音菩萨学修行
四无量心的观修",
善男子,virtuous man,向观音菩萨学修行,
第二恒河沙等阿僧祇劫后分,in the latter part of the second asamkhyeya kalpa,向观音菩萨学修行,
初夜,the initial division of the nigh,向观音菩萨学修行,
一切珍宝所成就世界,World-Accomplished-with-All-Jewels,向观音菩萨学修行,
以种种身相,take on different forms,向观音菩萨学修行,
自利/利己,benefit oneself/self-benefit,向观音菩萨学修行,
利他,benefit others/altruism,向观音菩萨学修行,
圆满佛菩萨的品质,perfect the qualities of buddhas and bodhisattvas,向观音菩萨学修行,
生命品质,life qualities,向观音菩萨学修行,
现有生命的过患,the perils of our current existence,向观音菩萨学修行,
转凡成圣,transform from ordinary beings into saints,向观音菩萨学修行,
鸠摩罗什,Kumarajiva,向观音菩萨学修行,
迷惑系统,the system of delusion,向观音菩萨学修行,
如实见,see things as they truly are,向观音菩萨学修行,
宇宙人生的本质,the true essence of life and the universe,向观音菩萨学修行,
三大语系,three main Buddhist traditions,向观音菩萨学修行,
汉传,"Mahayana/Han
Chinese","向观音菩萨学修行
东方智慧在当今世界的价值-文以载道",
大乘佛教,Mahayana Buddhism,向观音菩萨学修行,
大乘经典,Mahayana scriptures,向观音菩萨学修行,
南传,Theravada,向观音菩萨学修行,
藏传,Vajrayana/Tibetan,向观音菩萨学修行,
假合,a provisional synthesis/provisional coalescence,向观音菩萨学修行/生命的痛苦和解脱,
安然,tranquility,向观音菩萨学修行,
内观/向内观照,introspection,向观音菩萨学修行,
如来藏,Tathagatagarbha,向观音菩萨学修行,
如来藏的见地,the principle of Tathagatagarbha,向观音菩萨学修行,
直指,directly target one's original nature,向观音菩萨学修行,
直指人心,"aim directly at our innate nature
point directly to the original mind","向观音菩萨学修行
正念禅修的要领",
迷惑的凡夫系统,the system of delusion and unenlightenment,"向观音菩萨学修行
开启正念与慈悲大爱",
顿悟,"sudden awakening (subitism)
sudden enlightenment",向观音菩萨学修行,
顿悟法门,"a method of sudden enlightenment
the path of sudden enlightenment","开启正念与慈悲大爱
煮茶观心",
渐修/渐次修行,gradual practice (gradualism),向观音菩萨学修行,
利根,sharp faculties/sharp spiritual aptitude,向观音菩萨学修行/正念禅修的要领,
钝根,dull faculties/dull spiritual aptitude,向观音菩萨学修行/正念禅修的要领,
应机设教,adapt the teachings to the aptitude of the students,向观音菩萨学修行,
心垢/心灵尘垢,mental impurity/defilements,向观音菩萨学修行/正念禅修的要领,
心垢很薄,a thin veil of mental impurity,向观音菩萨学修行,
心垢很厚,a thick shell of mental impurities,向观音菩萨学修行,
一点即破,be pierced with a single insight,向观音菩萨学修行,
过去生,in past lives,向观音菩萨学修行,
在因地修行时,during his path to enlightenment,向观音菩萨学修行,
发愿成佛利益一切众生,wish to attain Buddhahood for the benefit of all beings,向观音菩萨学修行,
闻思修,"the techniques of hearing, contemplating, and practicing/the approach of listening, comtemplating and practicing",向观音菩萨学修行/八步骤三种禅修,
从闻思修入三摩地,"realize samadhi through the practice of hearing, contemplating, and practicing",向观音菩萨学修行,
闻慧,the wisdom from hearing the Dharma,向观音菩萨学修行,
思慧,the wisdom from contemplating the Dharma,向观音菩萨学修行,
修慧,the wisdom from following and practicing the Dharma,向观音菩萨学修行,
闻思经教,listen to and contemplate the teachings/study the Buddha’s teachings,《心经》的禅观/当代宗教问题,
树立正见,establish the Right Views,当代宗教信仰问题的思考,
听闻正法,hear the Dharma,向观音菩萨学修行,
如理思维,"contemplate the Dharma/thoughtfully digest/
reflect in accordance with the Dharma",向观音菩萨学修行/当代宗教问题,
法随法行,follow and practice the Dharma,向观音菩萨学修行,
闻性,the nature of hearing,向观音菩萨学修行,
回归闻性,return to the nature of hearing,向观音菩萨学修行,
开启闻性,reveal the nature of hearing,向观音菩萨学修行,
闻识,the consciousness of hearing,向观音菩萨学修行,
有生有灭,ebb and flow (with xx),向观音菩萨学修行,
分辨,distinguish,向观音菩萨学修行,
心无所住,"fixate on nothing/be unattached/
the mind remain unattached/
the mind dwell nowhere","向观音菩萨学修行
茶与禅的修行
正念禅修的要领",
妄识,delusive consciousness,向观音菩萨学修行,
究竟的,ultimate,向观音菩萨学修行,
偏空,"imbalanced emptiness
nihilistic emptiness","向观音菩萨学修行
《六祖坛经》与心理治疗",
不住于空也不住于有,neither settle in emptiness nor in existence,向观音菩萨学修行,
空觉不二,non-duality of emptiness and awareness,向观音菩萨学修行,
体和用,nature and function,向观音菩萨学修行,
妙用无穷,infinitely useful,向观音菩萨学修行,
不惧因果,dismiss causality,向观音菩萨学修行,
生灭心,a mind of arising and ceasing,向观音菩萨学修行,
打掉所有执著,dispel all forms of attachments,向观音菩萨学修行,
支撑点,foundation/foothold,向观音菩萨学修行,
有漏妄心,deluded mind,向观音菩萨学修行,
世间的/入世的/世俗的,"worldly
mundane","《心经》的禅观
当代宗教问题",
出世的/出世间的,"otherworldly
supramundane
transcendental","《心经》的禅观
当代宗教问题
茶与禅的修行",
世间,the worldly/this world,向观音菩萨学修行,
出世间,the otherworldly/the realm beyond this world,向观音菩萨学修行,
周遍十方,pervades all ten directions,向观音菩萨学修行,
光明圆满,illuminate brightly and perfectly complete,向观音菩萨学修行,
三十二应,thirty-two forms,向观音菩萨学修行,
观想,a visualization exercise,向观音菩萨学修行,
无所得的,no-obtain,向观音菩萨学修行,
福报/福德,blessings,心灵创造幸福,
福报,fruit of blessing,四无量心的观修,
成就无量福报,accumulate boundless merits,向观音菩萨学修行,
所求皆满,all wishes are fulfilled,向观音菩萨学修行,
福田,field of merit,向观音菩萨学修行,
悲田,the field of compassion,心灵创造幸福,
恩田,the field of gratitude,心灵创造幸福,
敬田,the field of respect,心灵创造幸福,
培植福田,develop the fields of blessings,心灵创造幸福,
培福,cultivate blessings,心灵创造幸福,
耕耘悲田,nurture the field of compassion,心灵创造幸福,
菩提心戒,the aspirational bodhicitta precepts,向观音菩萨学修行,
倡导受持菩提心戒,urge adherence to the aspirational bodhicitta precepts,向观音菩萨学修行,
明辨是非,discern the right from the wrong,向观音菩萨学修行,
使者,messenger,向观音菩萨学修行,
开启并体认宝藏,recognize and claim the treasures,向观音菩萨学修行,
成就xx菩萨的品质,embody xx's characteristics,向观音菩萨学修行,
修道助缘,the catalyst for cultivation,心灵创造幸福,
"智慧没有烦恼/
智慧不起烦恼","eradicate afflictions through wisdom/
When guided by wisdom, afflictions cease to exist.
Wisdom can lead us away from afflictions.",心灵创造幸福/人工智能时代,
多欲为苦,excessive desire brings suffering,心灵创造幸福,
知足常乐,contentment brings joy/happiness stems from contentment,心灵创造幸福,
攀比,comparison,心灵创造幸福,
嗔恨,hatred/anger/resentment,心灵创造幸福,
三法印,the Three Dharma Seals,心灵创造幸福,
诸行无常,All conditioned things are impermanent.,心灵创造幸福,
身苦,physical pain/physical discomfort/physical suffering,心灵创造幸福,
心苦,mental suffering,心灵创造幸福,
接纳,acceptance,心灵创造幸福,
认同,endorsing,心灵创造幸福,
众缘和合,"the effect of numerous interconnected causes and conditions
the unification of numerous causes and conditions
a temporary convergence of causes and conditions","心灵创造幸福
生命的痛苦和解脱
生命的痛苦和解脱",
逆境/违缘,adversities/adverse conditions,心灵创造幸福/开启正念与慈悲大爱,
五福临门,Five Blessings have descended upon the house.,心灵创造幸福,
长寿,longevity,心灵创造幸福,
富贵,ample wealth and status,心灵创造幸福,
康宁,health and peace,心灵创造幸福,
好德,virtue,心灵创造幸福,
善终,a good death,心灵创造幸福,
修身养性,"self-cultivation
cultivate the body to enhance well-being","心灵创造幸福
茶与禅的修行",
预知时至,foresee one's time of passing/anticipate one's death,心灵创造幸福,
生死自在,transcend life and death,心灵创造幸福,
心无挂碍,without mental burdens,心灵创造幸福,
坐脱立亡,"pass away gracefully at one's own command, whether seated or standing",心灵创造幸福,
临终关怀,hospice care,心灵创造幸福,
心理疏导,spiritual guidance,心灵创造幸福,
善行,acts of goodwill,心灵创造幸福,
正能量/正面心理,positivity/positive energy,心灵创造幸福,
负面心理,negativity,心灵创造幸福,
宗教师,spiritual guide,心灵创造幸福,
善知识,virtuous teacher,心灵创造幸福,
有加持力,hold a transformative power over one's mental and physical state,心灵创造幸福,
得到正能量的加持,absorb the positive energies and blessings,心灵创造幸福,
调柔的,soft,心灵创造幸福,
呈现在认识上的影像,an image formed in our cognition,心灵创造幸福,
被个人感觉改造过的,skewed by our personal feelings,心灵创造幸福,
见闻觉知,"what one sees, hears, and senses",心灵创造幸福,
心猿意马,a heart like a capering monkey and a mind like a galloping horse,心灵创造幸福,
外境,"the surroundings
circumstance",心灵创造幸福,
业风,the flow of karma,心灵创造幸福,
举身微笑,the full-body smile,心灵创造幸福,
断德,the virtue of cessation/the merit of severing afflictions,心灵创造幸福/当代宗教问题,
智德,the virtue of wisdom/the merit of wisdom,心灵创造幸福/当代宗教问题,
悲德,the virtue of compassion/the merit of compassion,心灵创造幸福/当代宗教问题,
圆满无量智慧,attain perfect and boundless wisdom,心灵创造幸福,
成就大慈大悲,realize great loving-kindness and compassion,心灵创造幸福,
无分别的,"unbiased
non-discriminative","心灵创造幸福
开启正念与慈悲大爱",
奠基仪式,the groundbreaking ceremony,人工智能时代,
心性修养,"cultivate the mind
cultivate one's mind","人工智能时代
煮茶观心",
开发心的无限潜能,tap into the mind’s unlimited potential,人工智能时代,
神谕,oracle,人工智能时代,
小我,the small self,人工智能时代,
大我,the greater self,人工智能时代,
性,nature,人工智能时代,
七处征心,"Ananda’s search for the mind in seven different locations
Searching the True Mind from Seven Locations","人工智能时代
煮茶观心",
（有情的）本来面目,original face,心灵创造幸福,
（事物的）本来面目,original appearances,禅意设计“十二字箴言”,
心的本来面目,the mind’s original state,人工智能时代,
世界的本来面目,the true nature of the world,人工智能时代,
无念无住,absent of thoughts and attachments,人工智能时代,
真如,True Suchness,人工智能时代,
人身,human form/human existence/human life,人工智能时代,
审视生命真相,examine the truth of life,人工智能时代,
缘起的生命,the dependently-originated life/life that arises from causes and conditions,人工智能时代,
现实价值,practical value,人工智能时代,
终极价值,ultimate value,人工智能时代,
人天善法,virtuous deeds of humans and devas,人工智能时代,
超然的,detached,人工智能时代,
制造痛苦的永动机,a perpetual motion machine that keeps producing suffering,人工智能时代,
调心,"develope healthy mindsets
calm the mind
adjust the mind
regulate the mind","人工智能时代
茶与禅的修行
正念禅修的要领
正念禅修的要领",
静心,"calm the mind/guide xx towards inner peace
cultivate tranquility","人工智能时代
煮茶观心",
安心,"settle the mind/attain peace of mind
abide in inner peace
find peace of mind, settle one's mind, feel at ease","人工智能时代
煮茶观心
煮茶观心",
超脱,transcendence,人工智能时代,
生老病死,"birth, aging, sickness, death",人工智能时代,
超脱的,transcendental,人工智能时代,
以智慧审视人生,exam life with wisdom,人工智能时代,
超然物外,detached and relaxed,人工智能时代,
勤修戒定慧,"diligently follow precepts, practice concentration, and cultivate wisdom",人工智能时代,
知,comprehension,人工智能时代,
行,behavior,人工智能时代,
理性,rationality,人工智能时代,
摆脱迷惑烦恼,free oneself from confusion and afflictions,人工智能时代,
性善/性本善,the inherent goodness of human nature,人工智能时代,
性恶/性本恶,the inherent evil of human nature,人工智能时代,
义与利,righteousness and personal interest,人工智能时代,
灵性,spiritual beings,人工智能时代,
生命是因缘因果的相续,Life is a continuous cycle of cause and effect.,人工智能时代,
心的显现,a manifestation of the mind,人工智能时代,
恒河沙数,the countless grains of sand in the Ganges River,人工智能时代,
波粒二象性,wave-particle duality,人工智能时代,
证悟心的本质,grasp the essence of the mind,人工智能时代,
诸法实相,the true nature of all phenomena,人工智能时代,
心学/心性之学,a study of the mind,人工智能时代,
佛法名相,Buddhist concepts,人工智能时代,
有,existence,人工智能时代,
无,"non-existence
no","人工智能时代
当代宗教信仰问题的思考",
终极性问题,ultimate questions,人工智能时代,
因上努力,"cultivate the causes
alter the causes","人工智能时代
心灵创造幸福",
果上随缘,calmly accept all results,人工智能时代,
智慧文化,a culture of wisdom,人工智能时代,
静心文化,the culture of mindfulness and inner peace,人工智能时代,
私欲,selfish desire,当代宗教信仰问题的思考,
五戒,the Five Precepts,当代宗教信仰问题的思考,
五戒十善,the Five Precepts and the Ten Wholesomeness/the Five Precepts and Ten Good Deeds,当代宗教信仰问题的思考/生命的痛苦和解脱,
依五戒十善生活,comply with the Five Precepts and the Ten Wholesomeness in one’s life,当代宗教信仰问题的思考,
人天乘,the Vehicle of Human and Devas/Human and Heavenly Vehicle,当代宗教信仰问题的思考/生命的痛苦和解脱,
福慧双修,cultivate both blessings and wisdom,当代宗教信仰问题的思考,
心解脱,Mind-Liberation,当代宗教信仰问题的思考,
慧解脱,Wisdom-Liberation,当代宗教信仰问题的思考,
盗用佛教名相,misappropriate Buddhist terms,当代宗教信仰问题的思考,
依附(xx宗教),latch onto,当代宗教信仰问题的思考,
虔诚的,pious/devout,当代宗教信仰问题的思考,
佛,buddha,从佛法视角谈“断舍离”,
菩萨,bodhisattva,从佛法视角谈“断舍离”,
佛菩萨,buddhas and bodhisattvas,从佛法视角谈“断舍离”,
菩萨戒,the Bodhisattva Precepts,从佛法视角谈“断舍离”,
别解脱戒,the Individual Liberation Precepts,从佛法视角谈“断舍离”,
因信称义,justification by faith,当代宗教信仰问题的思考,
信者得度,salvation through faith,当代宗教信仰问题的思考,
信解行证,"believing, understanding, practicing, and realizing",当代宗教信仰问题的思考,
八难,Eight Difficulties,当代宗教信仰问题的思考,
邪见,"the deviated views
erroneous views","当代宗教信仰问题的思考
生命的痛苦和解脱",
邪见众,holders of the deviated views,当代宗教信仰问题的思考,
修证体验,personal practice,当代宗教信仰问题的思考,
(瑜伽师地论)四种真实,the four levels of apprehension of reality,当代宗教信仰问题的思考,
世间极成真实,reality as formulated by mundane cognition,当代宗教信仰问题的思考,
道理极成真实,reality as formulated by accurate reasoning,当代宗教信仰问题的思考,
烦恼障净智所行真实,reality as formulated by the cognition purified of the afflictive hindrances,当代宗教信仰问题的思考,
所知障净智所行真实,reality as formulated by the cognition purified of the cognitive hindrances,当代宗教信仰问题的思考,
如实知见,seeing as it is,当代宗教信仰问题的思考,
佛教皈依仪式,Buddhism's conversion ceremony,当代宗教信仰问题的思考,
皈依三宝,take refuge in the Three Jewels,当代宗教信仰问题的思考,
尽形寿皈依佛,Take Refuge in the Buddha for my entire life,当代宗教信仰问题的思考,
尽形寿皈依法,Take Refuge in the Dharma for my entire life,当代宗教信仰问题的思考,
尽形寿皈依僧,Take Refuge in the Sangha for my entire life,当代宗教信仰问题的思考,
受戒,ordain,当代宗教信仰问题的思考,
人天乘善法,the ethics of Human and Devas,当代宗教信仰问题的思考,
佛教思想殿堂,the Buddhist Temple of thought,当代宗教信仰问题的思考,
法喜,experience joy in receiving the Dharma,当代宗教信仰问题的思考,
道心,determination to practice the Path,当代宗教信仰问题的思考,
无常观,the contemplation of impermanence,当代宗教信仰问题的思考,
不净观,the contemplation of impurity of the human body,当代宗教信仰问题的思考,
实证,true realization,当代宗教信仰问题的思考,
感应,spiritual response,当代宗教信仰问题的思考,
无相,formlessness,禅意设计“十二字箴言”,
无限,infinity,禅意设计“十二字箴言”,
出世,transcendence,禅意设计“十二字箴言”,
寂静,tranquility,禅意设计“十二字箴言”,
超然,detachment,禅意设计“十二字箴言”,
觉醒艺术,Awakening Art,禅意设计“十二字箴言”,
禅意设计,Chan design,禅意设计“十二字箴言”,
所知障,cognitive obstacles,禅意设计“十二字箴言”,
烦恼障,afflictive obstacles,禅意设计“十二字箴言”,
去伪存真,"discard the false, and realize the truth",禅意设计“十二字箴言”,
通达无我,gain a thorough understanding of no-self,禅意设计“十二字箴言”,
学人,spiritual practitioner/practitioner,禅意设计“十二字箴言”/茶与禅的修行,
话头,huatou/critical phrase(加脚注见批注),禅意设计“十二字箴言”,
参话头,"contemplate the topics of inquiry
investigate the critical phrase (hua tou)
investigate a topic","禅意设计“十二字箴言”
茶与禅的修行
生命的痛苦及其解脱",
身安,a peaceful body,禅意设计“十二字箴言”,
心安,a composed mind,禅意设计“十二字箴言”,
有相的,have form,禅意设计“十二字箴言”,
住（相）,abide in/dwell in/attach to/cling to,生命的痛苦及其解脱,
住相,dwell in appearances/attach to forms/abiding in forms,禅意设计“十二字箴言”/生命的痛苦和解脱,
缘起的智慧,the wisdom of dependent origination,禅意设计“十二字箴言”,
(楞严经)前尘影事,the shadows of coarse sense-data/past impressions,禅意设计“十二字箴言”/生命的痛苦和解脱,
接受xx传承,receive xx lineage,禅意设计“十二字箴言”,
五欲六尘,the Five Desires and the Six Dusts,禅意设计“十二字箴言”,
出世和入世,transcendental practice and worldly living/transcendence and renunciation,禅意设计“十二字箴言”,
出世解脱之路,the path of transcendence and liberation,禅意设计“十二字箴言”,
化世导俗,transform the world and enlighten ordinary beings,禅意设计“十二字箴言”,
水月空花,the moon in the water or an illusory flower,禅意设计“十二字箴言”,
加持力,empowerment,禅意设计“十二字箴言”,
坐看云起,watch the clouds rising at ease,禅意设计“十二字箴言”,
生活禅,Chan life,生命的痛苦及其解脱,
不住于相,not dwelling in forms,生命的痛苦及其解脱,
妄想,delusion/wandering thoughts/distracting thoughts,生命的痛苦及其解脱/正念禅修的要领,
息灭妄想,extinguish delusions,生命的痛苦及其解脱,
治标不治本,be comforting rather than a cure,生命的痛苦及其解脱,
果报成熟,karmic retribution come to maturity,生命的痛苦及其解脱,
无神论者,atheist,生命的痛苦及其解脱,
善业,wholesome karma/good karma,生命的痛苦及其解脱,
"本来清净、
具足万法的源头",inherently pure source which encompasses all dharmas,生命的痛苦及其解脱,
有为的,conditioned,生命的痛苦及其解脱,
无为的,unconditioned,生命的痛苦及其解脱,
观身无常,contemplate the body as impermanent,生命的痛苦及其解脱,
"认识到缘起的假相，
认识到性空的原理",recognize the false appearance that originates dependently and understand its empty nature,生命的痛苦及其解脱,
四大假合,"a provisional aggregate of the four primary elements, namely, earth, water, fire, and wind",生命的痛苦及其解脱,
身为苦本,The body is the root of suffering,生命的痛苦及其解脱,
三有,the Three Realms,生命的痛苦及其解脱,
欲界,the Desire Realm,生命的痛苦及其解脱,
色界,the Form Realm,生命的痛苦及其解脱,
无色界,the Formless Realm,生命的痛苦及其解脱,
根本烦恼,primary affliction,生命的痛苦及其解脱,
随烦恼,secondary affliction,生命的痛苦及其解脱,
贪心所,greed,生命的痛苦及其解脱,
随喜功德,rejoice over others’ merits,生命的痛苦及其解脱,
